date,Karanganyar,isPartial
2016-11-27,36,False
2016-12-04,34,False
2016-12-11,34,False
2016-12-18,38,False
2016-12-25,42,False
2017-01-01,40,False
2017-01-08,35,False
2017-01-15,30,False
2017-01-22,36,False
2017-01-29,33,False
2017-02-05,28,False
2017-02-12,39,False
2017-02-19,33,False
2017-02-26,45,False
2017-03-05,36,False
2017-03-12,30,False
2017-03-19,32,False
2017-03-26,27,False
2017-04-02,32,False
2017-04-09,32,False
2017-04-16,37,False
2017-04-23,30,False
2017-04-30,40,False
2017-05-07,34,False
2017-05-14,35,False
2017-05-21,37,False
2017-05-28,35,False
2017-06-04,37,False
2017-06-11,31,False
2017-06-18,53,False
2017-06-25,48,False
2017-07-02,52,False
2017-07-09,52,False
2017-07-16,43,False
2017-07-23,32,False
2017-07-30,32,False
2017-08-06,40,False
2017-08-13,28,False
2017-08-20,33,False
2017-08-27,40,False
2017-09-03,35,False
2017-09-10,31,False
2017-09-17,35,False
2017-09-24,30,False
2017-10-01,36,False
2017-10-08,38,False
2017-10-15,46,False
2017-10-22,42,False
2017-10-29,38,False
2017-11-05,34,False
2017-11-12,28,False
2017-11-19,39,False
2017-11-26,46,False
2017-12-03,40,False
2017-12-10,32,False
2017-12-17,35,False
2017-12-24,51,False
2017-12-31,48,False
2018-01-07,41,False
2018-01-14,50,False
2018-01-21,44,False
2018-01-28,40,False
2018-02-04,41,False
2018-02-11,48,False
2018-02-18,36,False
2018-02-25,38,False
2018-03-04,35,False
2018-03-11,41,False
2018-03-18,34,False
2018-03-25,44,False
2018-04-01,34,False
2018-04-08,48,False
2018-04-15,37,False
2018-04-22,35,False
2018-04-29,39,False
2018-05-06,35,False
2018-05-13,40,False
2018-05-20,40,False
2018-05-27,42,False
2018-06-03,63,False
2018-06-10,41,False
2018-06-17,62,False
2018-06-24,75,False
2018-07-01,41,False
2018-07-08,42,False
2018-07-15,37,False
2018-07-22,38,False
2018-07-29,38,False
2018-08-05,38,False
2018-08-12,42,False
2018-08-19,42,False
2018-08-26,38,False
2018-09-02,43,False
2018-09-09,39,False
2018-09-16,37,False
2018-09-23,47,False
2018-09-30,50,False
2018-10-07,50,False
2018-10-14,48,False
2018-10-21,54,False
2018-10-28,43,False
2018-11-04,47,False
2018-11-11,54,False
2018-11-18,57,False
2018-11-25,64,False
2018-12-02,40,False
2018-12-09,52,False
2018-12-16,59,False
2018-12-23,64,False
2018-12-30,68,False
2019-01-06,39,False
2019-01-13,43,False
2019-01-20,52,False
2019-01-27,42,False
2019-02-03,41,False
2019-02-10,42,False
2019-02-17,57,False
2019-02-24,40,False
2019-03-03,45,False
2019-03-10,44,False
2019-03-17,41,False
2019-03-24,48,False
2019-03-31,41,False
2019-04-07,40,False
2019-04-14,54,False
2019-04-21,43,False
2019-04-28,47,False
2019-05-05,47,False
2019-05-12,39,False
2019-05-19,30,False
2019-05-26,51,False
2019-06-02,58,False
2019-06-09,71,False
2019-06-16,59,False
2019-06-23,53,False
2019-06-30,100,False
2019-07-07,58,False
2019-07-14,40,False
2019-07-21,47,False
2019-07-28,47,False
2019-08-04,49,False
2019-08-11,49,False
2019-08-18,52,False
2019-08-25,38,False
2019-09-01,44,False
2019-09-08,45,False
2019-09-15,43,False
2019-09-22,55,False
2019-09-29,45,False
2019-10-06,46,False
2019-10-13,49,False
2019-10-20,43,False
2019-10-27,47,False
2019-11-03,50,False
2019-11-10,49,False
2019-11-17,68,False
2019-11-24,44,False
2019-12-01,45,False
2019-12-08,50,False
2019-12-15,49,False
2019-12-22,64,False
2019-12-29,66,False
2020-01-05,52,False
2020-01-12,43,False
2020-01-19,43,False
2020-01-26,47,False
2020-02-02,58,False
2020-02-09,56,False
2020-02-16,55,False
2020-02-23,45,False
2020-03-01,43,False
2020-03-08,53,False
2020-03-15,40,False
2020-03-22,44,False
2020-03-29,34,False
2020-04-05,34,False
2020-04-12,39,False
2020-04-19,43,False
2020-04-26,40,False
2020-05-03,38,False
2020-05-10,35,False
2020-05-17,45,False
2020-05-24,47,False
2020-05-31,44,False
2020-06-07,45,False
2020-06-14,59,False
2020-06-21,90,False
2020-06-28,62,False
2020-07-05,52,False
2020-07-12,38,False
2020-07-19,38,False
2020-07-26,41,False
2020-08-02,46,False
2020-08-09,48,False
2020-08-16,53,False
2020-08-23,46,False
2020-08-30,43,False
2020-09-06,43,False
2020-09-13,42,False
2020-09-20,41,False
2020-09-27,38,False
2020-10-04,41,False
2020-10-11,42,False
2020-10-18,45,False
2020-10-25,57,False
2020-11-01,50,False
2020-11-08,41,False
2020-11-15,53,False
2020-11-22,39,False
2020-11-29,42,False
2020-12-06,36,False
2020-12-13,42,False
2020-12-20,41,False
2020-12-27,48,False
2021-01-03,42,False
2021-01-10,38,False
2021-01-17,37,False
2021-01-24,38,False
2021-01-31,45,False
2021-02-07,41,False
2021-02-14,37,False
2021-02-21,36,False
2021-02-28,35,False
2021-03-07,37,False
2021-03-14,41,False
2021-03-21,42,False
2021-03-28,38,False
2021-04-04,43,False
2021-04-11,53,False
2021-04-18,40,False
2021-04-25,39,False
2021-05-02,42,False
2021-05-09,50,False
2021-05-16,61,False
2021-05-23,49,False
2021-05-30,47,False
2021-06-06,53,False
2021-06-13,45,False
2021-06-20,70,False
2021-06-27,44,False
2021-07-04,38,False
2021-07-11,44,False
2021-07-18,35,False
2021-07-25,27,False
2021-08-01,45,False
2021-08-08,48,False
2021-08-15,48,False
2021-08-22,43,False
2021-08-29,50,False
2021-09-05,35,False
2021-09-12,58,False
2021-09-19,44,False
2021-09-26,53,False
2021-10-03,45,False
2021-10-10,47,False
2021-10-17,41,False
2021-10-24,49,False
2021-10-31,38,False
2021-11-07,48,False
2021-11-14,49,True
