date,Kayong Utara,isPartial
2016-11-27,15,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,23,False
2016-12-25,0,False
2017-01-01,24,False
2017-01-08,0,False
2017-01-15,30,False
2017-01-22,0,False
2017-01-29,15,False
2017-02-05,15,False
2017-02-12,30,False
2017-02-19,45,False
2017-02-26,29,False
2017-03-05,15,False
2017-03-12,7,False
2017-03-19,8,False
2017-03-26,7,False
2017-04-02,44,False
2017-04-09,15,False
2017-04-16,14,False
2017-04-23,15,False
2017-04-30,22,False
2017-05-07,29,False
2017-05-14,31,False
2017-05-21,24,False
2017-05-28,8,False
2017-06-04,31,False
2017-06-11,32,False
2017-06-18,33,False
2017-06-25,9,False
2017-07-02,31,False
2017-07-09,23,False
2017-07-16,8,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,51,False
2017-08-13,30,False
2017-08-20,22,False
2017-08-27,0,False
2017-09-03,7,False
2017-09-10,22,False
2017-09-17,15,False
2017-09-24,36,False
2017-10-01,22,False
2017-10-08,43,False
2017-10-15,29,False
2017-10-22,14,False
2017-10-29,29,False
2017-11-05,7,False
2017-11-12,14,False
2017-11-19,22,False
2017-11-26,29,False
2017-12-03,14,False
2017-12-10,36,False
2017-12-17,7,False
2017-12-24,15,False
2017-12-31,8,False
2018-01-07,7,False
2018-01-14,14,False
2018-01-21,7,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,14,False
2018-02-18,100,False
2018-02-25,7,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,35,False
2018-03-25,21,False
2018-04-01,0,False
2018-04-08,7,False
2018-04-15,28,False
2018-04-22,28,False
2018-04-29,14,False
2018-05-06,0,False
2018-05-13,37,False
2018-05-20,14,False
2018-05-27,15,False
2018-06-03,15,False
2018-06-10,32,False
2018-06-17,14,False
2018-06-24,51,False
2018-07-01,19,False
2018-07-08,19,False
2018-07-15,21,False
2018-07-22,7,False
2018-07-29,26,False
2018-08-05,6,False
2018-08-12,14,False
2018-08-19,37,False
2018-08-26,7,False
2018-09-02,21,False
2018-09-09,36,False
2018-09-16,14,False
2018-09-23,21,False
2018-09-30,48,False
2018-10-07,14,False
2018-10-14,14,False
2018-10-21,27,False
2018-10-28,20,False
2018-11-04,14,False
2018-11-11,21,False
2018-11-18,22,False
2018-11-25,14,False
2018-12-02,42,False
2018-12-09,29,False
2018-12-16,14,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,21,False
2019-01-13,35,False
2019-01-20,14,False
2019-01-27,7,False
2019-02-03,7,False
2019-02-10,14,False
2019-02-17,20,False
2019-02-24,7,False
2019-03-03,14,False
2019-03-10,20,False
2019-03-17,27,False
2019-03-24,20,False
2019-03-31,7,False
2019-04-07,14,False
2019-04-14,14,False
2019-04-21,0,False
2019-04-28,14,False
2019-05-05,21,False
2019-05-12,14,False
2019-05-19,7,False
2019-05-26,0,False
2019-06-02,9,False
2019-06-09,35,False
2019-06-16,41,False
2019-06-23,27,False
2019-06-30,14,False
2019-07-07,20,False
2019-07-14,14,False
2019-07-21,20,False
2019-07-28,7,False
2019-08-04,20,False
2019-08-11,34,False
2019-08-18,13,False
2019-08-25,33,False
2019-09-01,13,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,25,False
2019-09-29,45,False
2019-10-06,32,False
2019-10-13,19,False
2019-10-20,31,False
2019-10-27,38,False
2019-11-03,32,False
2019-11-10,25,False
2019-11-17,25,False
2019-11-24,31,False
2019-12-01,12,False
2019-12-08,6,False
2019-12-15,26,False
2019-12-22,7,False
2019-12-29,21,False
2020-01-05,25,False
2020-01-12,30,False
2020-01-19,13,False
2020-01-26,6,False
2020-02-02,13,False
2020-02-09,24,False
2020-02-16,25,False
2020-02-23,6,False
2020-03-01,24,False
2020-03-08,47,False
2020-03-15,17,False
2020-03-22,43,False
2020-03-29,26,False
2020-04-05,5,False
2020-04-12,21,False
2020-04-19,17,False
2020-04-26,40,False
2020-05-03,11,False
2020-05-10,11,False
2020-05-17,12,False
2020-05-24,6,False
2020-05-31,21,False
2020-06-07,26,False
2020-06-14,12,False
2020-06-21,24,False
2020-06-28,18,False
2020-07-05,18,False
2020-07-12,17,False
2020-07-19,37,False
2020-07-26,28,False
2020-08-02,15,False
2020-08-09,35,False
2020-08-16,11,False
2020-08-23,5,False
2020-08-30,46,False
2020-09-06,20,False
2020-09-13,20,False
2020-09-20,29,False
2020-09-27,25,False
2020-10-04,5,False
2020-10-11,16,False
2020-10-18,41,False
2020-10-25,22,False
2020-11-01,41,False
2020-11-08,21,False
2020-11-15,16,False
2020-11-22,26,False
2020-11-29,10,False
2020-12-06,11,False
2020-12-13,22,False
2020-12-20,24,False
2020-12-27,19,False
2021-01-03,6,False
2021-01-10,16,False
2021-01-17,6,False
2021-01-24,0,False
2021-01-31,27,False
2021-02-07,17,False
2021-02-14,11,False
2021-02-21,11,False
2021-02-28,16,False
2021-03-07,16,False
2021-03-14,9,False
2021-03-21,21,False
2021-03-28,50,False
2021-04-04,33,False
2021-04-11,23,False
2021-04-18,11,False
2021-04-25,28,False
2021-05-02,23,False
2021-05-09,13,False
2021-05-16,24,False
2021-05-23,17,False
2021-05-30,16,False
2021-06-06,5,False
2021-06-13,11,False
2021-06-20,35,False
2021-06-27,39,False
2021-07-04,29,False
2021-07-11,17,False
2021-07-18,23,False
2021-07-25,26,False
2021-08-01,37,False
2021-08-08,11,False
2021-08-15,21,False
2021-08-22,11,False
2021-08-29,27,False
2021-09-05,34,False
2021-09-12,33,False
2021-09-19,22,False
2021-09-26,23,False
2021-10-03,11,False
2021-10-10,23,False
2021-10-17,6,False
2021-10-24,6,False
2021-10-31,28,False
2021-11-07,35,False
2021-11-14,7,True
