date,Kebumen,isPartial
2016-11-27,44,False
2016-12-04,45,False
2016-12-11,55,False
2016-12-18,53,False
2016-12-25,71,False
2017-01-01,58,False
2017-01-08,56,False
2017-01-15,50,False
2017-01-22,65,False
2017-01-29,50,False
2017-02-05,46,False
2017-02-12,47,False
2017-02-19,52,False
2017-02-26,52,False
2017-03-05,48,False
2017-03-12,51,False
2017-03-19,51,False
2017-03-26,44,False
2017-04-02,43,False
2017-04-09,51,False
2017-04-16,54,False
2017-04-23,48,False
2017-04-30,49,False
2017-05-07,42,False
2017-05-14,45,False
2017-05-21,44,False
2017-05-28,47,False
2017-06-04,56,False
2017-06-11,52,False
2017-06-18,70,False
2017-06-25,98,False
2017-07-02,77,False
2017-07-09,56,False
2017-07-16,40,False
2017-07-23,50,False
2017-07-30,50,False
2017-08-06,50,False
2017-08-13,42,False
2017-08-20,41,False
2017-08-27,62,False
2017-09-03,47,False
2017-09-10,39,False
2017-09-17,44,False
2017-09-24,43,False
2017-10-01,55,False
2017-10-08,51,False
2017-10-15,60,False
2017-10-22,52,False
2017-10-29,45,False
2017-11-05,48,False
2017-11-12,38,False
2017-11-19,43,False
2017-11-26,39,False
2017-12-03,44,False
2017-12-10,45,False
2017-12-17,55,False
2017-12-24,61,False
2017-12-31,53,False
2018-01-07,40,False
2018-01-14,46,False
2018-01-21,63,False
2018-01-28,53,False
2018-02-04,42,False
2018-02-11,39,False
2018-02-18,45,False
2018-02-25,44,False
2018-03-04,52,False
2018-03-11,47,False
2018-03-18,44,False
2018-03-25,42,False
2018-04-01,37,False
2018-04-08,37,False
2018-04-15,49,False
2018-04-22,44,False
2018-04-29,39,False
2018-05-06,48,False
2018-05-13,53,False
2018-05-20,42,False
2018-05-27,44,False
2018-06-03,59,False
2018-06-10,78,False
2018-06-17,87,False
2018-06-24,66,False
2018-07-01,57,False
2018-07-08,48,False
2018-07-15,54,False
2018-07-22,53,False
2018-07-29,45,False
2018-08-05,43,False
2018-08-12,41,False
2018-08-19,40,False
2018-08-26,53,False
2018-09-02,49,False
2018-09-09,47,False
2018-09-16,53,False
2018-09-23,43,False
2018-09-30,41,False
2018-10-07,43,False
2018-10-14,53,False
2018-10-21,46,False
2018-10-28,51,False
2018-11-04,43,False
2018-11-11,51,False
2018-11-18,51,False
2018-11-25,52,False
2018-12-02,52,False
2018-12-09,43,False
2018-12-16,62,False
2018-12-23,66,False
2018-12-30,66,False
2019-01-06,41,False
2019-01-13,57,False
2019-01-20,55,False
2019-01-27,53,False
2019-02-03,48,False
2019-02-10,48,False
2019-02-17,46,False
2019-02-24,59,False
2019-03-03,47,False
2019-03-10,54,False
2019-03-17,51,False
2019-03-24,49,False
2019-03-31,57,False
2019-04-07,49,False
2019-04-14,48,False
2019-04-21,49,False
2019-04-28,57,False
2019-05-05,57,False
2019-05-12,51,False
2019-05-19,44,False
