date,Kepulauan Talaud,isPartial
2016-11-27,9,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,5,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,4,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,4,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,4,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,9,False
2017-06-11,23,False
2017-06-18,0,False
2017-06-25,5,False
2017-07-02,4,False
2017-07-09,0,False
2017-07-16,5,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,4,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,4,False
2017-09-17,0,False
2017-09-24,4,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,4,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,4,False
2017-12-17,4,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,8,False
2018-01-14,4,False
2018-01-21,4,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,4,False
2018-02-18,4,False
2018-02-25,0,False
2018-03-04,4,False
2018-03-11,4,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,4,False
2018-05-27,0,False
2018-06-03,4,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,4,False
2018-07-08,0,False
2018-07-15,4,False
2018-07-22,4,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,4,False
2018-09-09,4,False
2018-09-16,8,False
2018-09-23,4,False
2018-09-30,8,False
2018-10-07,0,False
2018-10-14,4,False
2018-10-21,8,False
2018-10-28,8,False
2018-11-04,8,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,4,False
2018-12-09,8,False
2018-12-16,0,False
2018-12-23,63,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,4,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,4,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,4,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,100,False
2019-05-05,4,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,4,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,8,False
2019-06-23,8,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,4,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,8,False
2019-08-11,0,False
2019-08-18,8,False
2019-08-25,0,False
2019-09-01,4,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,4,False
2019-09-29,0,False
2019-10-06,4,False
2019-10-13,4,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,4,False
2019-11-10,7,False
2019-11-17,4,False
2019-11-24,7,False
2019-12-01,0,False
2019-12-08,11,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,3,False
2020-01-19,7,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,4,False
2020-02-16,4,False
2020-02-23,4,False
2020-03-01,4,False
2020-03-08,3,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,3,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,3,False
2020-05-10,0,False
2020-05-17,7,False
2020-05-24,7,False
2020-05-31,3,False
2020-06-07,0,False
2020-06-14,3,False
2020-06-21,0,False
2020-06-28,3,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,3,False
2020-07-26,3,False
2020-08-02,0,False
2020-08-09,0,False
2020-08-16,0,False
2020-08-23,6,False
2020-08-30,3,False
2020-09-06,6,False
2020-09-13,0,False
2020-09-20,3,False
2020-09-27,0,False
2020-10-04,0,False
2020-10-11,0,False
2020-10-18,6,False
2020-10-25,0,False
2020-11-01,3,False
2020-11-08,3,False
2020-11-15,3,False
2020-11-22,0,False
2020-11-29,3,False
2020-12-06,0,False
2020-12-13,0,False
2020-12-20,7,False
2020-12-27,4,False
2021-01-03,0,False
2021-01-10,6,False
2021-01-17,10,False
2021-01-24,0,False
2021-01-31,6,False
2021-02-07,0,False
2021-02-14,3,False
2021-02-21,3,False
2021-02-28,0,False
2021-03-07,3,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,6,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,6,False
2021-05-02,7,False
2021-05-09,0,False
2021-05-16,0,False
2021-05-23,0,False
2021-05-30,0,False
2021-06-06,3,False
2021-06-13,6,False
2021-06-20,3,False
2021-06-27,0,False
2021-07-04,0,False
2021-07-11,0,False
2021-07-18,10,False
2021-07-25,0,False
2021-08-01,3,False
2021-08-08,0,False
2021-08-15,3,False
2021-08-22,0,False
2021-08-29,0,False
2021-09-05,7,False
2021-09-12,0,False
2021-09-19,3,False
2021-09-26,10,False
2021-10-03,0,False
2021-10-10,7,False
2021-10-17,7,False
2021-10-24,3,False
2021-10-31,3,False
2021-11-07,0,False
2021-11-14,0,True
