date,Klaten,isPartial
2016-11-27,37,False
2016-12-04,40,False
2016-12-11,41,False
2016-12-18,42,False
2016-12-25,100,False
2017-01-01,83,False
2017-01-08,56,False
2017-01-15,49,False
2017-01-22,47,False
2017-01-29,44,False
2017-02-05,38,False
2017-02-12,40,False
2017-02-19,43,False
2017-02-26,42,False
2017-03-05,41,False
2017-03-12,36,False
2017-03-19,41,False
2017-03-26,40,False
2017-04-02,42,False
2017-04-09,41,False
2017-04-16,34,False
2017-04-23,36,False
2017-04-30,84,False
2017-05-07,41,False
2017-05-14,36,False
2017-05-21,41,False
2017-05-28,47,False
2017-06-04,45,False
2017-06-11,49,False
2017-06-18,53,False
2017-06-25,60,False
2017-07-02,46,False
2017-07-09,43,False
2017-07-16,41,False
2017-07-23,48,False
2017-07-30,41,False
2017-08-06,35,False
2017-08-13,41,False
2017-08-20,32,False
2017-08-27,37,False
2017-09-03,38,False
2017-09-10,39,False
2017-09-17,44,False
2017-09-24,35,False
2017-10-01,40,False
2017-10-08,39,False
2017-10-15,37,False
2017-10-22,42,False
2017-10-29,41,False
2017-11-05,44,False
2017-11-12,37,False
2017-11-19,43,False
2017-11-26,41,False
2017-12-03,36,False
2017-12-10,39,False
2017-12-17,50,False
2017-12-24,52,False
2017-12-31,44,False
2018-01-07,44,False
2018-01-14,42,False
2018-01-21,44,False
2018-01-28,41,False
2018-02-04,42,False
2018-02-11,42,False
2018-02-18,40,False
2018-02-25,39,False
2018-03-04,42,False
2018-03-11,41,False
2018-03-18,41,False
2018-03-25,46,False
2018-04-01,44,False
2018-04-08,39,False
2018-04-15,43,False
2018-04-22,45,False
2018-04-29,50,False
2018-05-06,41,False
2018-05-13,38,False
2018-05-20,39,False
2018-05-27,45,False
2018-06-03,45,False
2018-06-10,60,False
2018-06-17,54,False
2018-06-24,47,False
2018-07-01,66,False
2018-07-08,46,False
2018-07-15,48,False
2018-07-22,38,False
2018-07-29,44,False
2018-08-05,36,False
2018-08-12,41,False
2018-08-19,43,False
2018-08-26,40,False
2018-09-02,43,False
2018-09-09,47,False
2018-09-16,42,False
2018-09-23,47,False
2018-09-30,44,False
2018-10-07,42,False
2018-10-14,41,False
2018-10-21,44,False
2018-10-28,45,False
2018-11-04,46,False
2018-11-11,45,False
2018-11-18,48,False
2018-11-25,40,False
2018-12-02,45,False
2018-12-09,47,False
2018-12-16,56,False
