date,Kuantan Singingi,isPartial
2016-11-27,9,False
2016-12-04,26,False
2016-12-11,18,False
2016-12-18,9,False
2016-12-25,57,False
2017-01-01,28,False
2017-01-08,0,False
2017-01-15,27,False
2017-01-22,27,False
2017-01-29,18,False
2017-02-05,18,False
2017-02-12,9,False
2017-02-19,36,False
2017-02-26,35,False
2017-03-05,35,False
2017-03-12,0,False
2017-03-19,18,False
2017-03-26,9,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,25,False
2017-04-23,26,False
2017-04-30,43,False
2017-05-07,26,False
2017-05-14,28,False
2017-05-21,10,False
2017-05-28,9,False
2017-06-04,19,False
2017-06-11,28,False
2017-06-18,10,False
2017-06-25,0,False
2017-07-02,9,False
2017-07-09,18,False
2017-07-16,28,False
2017-07-23,18,False
2017-07-30,35,False
2017-08-06,35,False
2017-08-13,18,False
2017-08-20,35,False
2017-08-27,9,False
2017-09-03,18,False
2017-09-10,26,False
2017-09-17,17,False
2017-09-24,17,False
2017-10-01,17,False
2017-10-08,9,False
2017-10-15,17,False
2017-10-22,9,False
2017-10-29,17,False
2017-11-05,26,False
2017-11-12,26,False
2017-11-19,0,False
2017-11-26,52,False
2017-12-03,17,False
2017-12-10,35,False
2017-12-17,9,False
2017-12-24,18,False
2017-12-31,0,False
2018-01-07,17,False
2018-01-14,25,False
2018-01-21,34,False
2018-01-28,26,False
2018-02-04,17,False
2018-02-11,0,False
2018-02-18,9,False
2018-02-25,34,False
2018-03-04,42,False
2018-03-11,25,False
2018-03-18,42,False
2018-03-25,25,False
2018-04-01,8,False
2018-04-08,25,False
2018-04-15,0,False
2018-04-22,8,False
2018-04-29,17,False
2018-05-06,17,False
2018-05-13,9,False
2018-05-20,16,False
2018-05-27,26,False
2018-06-03,26,False
2018-06-10,10,False
2018-06-17,17,False
2018-06-24,46,False
2018-07-01,38,False
2018-07-08,16,False
2018-07-15,25,False
2018-07-22,24,False
2018-07-29,24,False
2018-08-05,8,False
2018-08-12,8,False
2018-08-19,18,False
2018-08-26,9,False
