date,Labuhan Batu Selatan,isPartial
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,16,False
2016-12-18,0,False
2016-12-25,16,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,15,False
2017-01-22,15,False
2017-01-29,31,False
2017-02-05,45,False
2017-02-12,15,False
2017-02-19,30,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,15,False
2017-03-19,0,False
2017-03-26,15,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,14,False
2017-04-23,0,False
2017-04-30,29,False
2017-05-07,0,False
2017-05-14,47,False
2017-05-21,16,False
2017-05-28,0,False
2017-06-04,16,False
2017-06-11,16,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,31,False
2017-07-09,31,False
2017-07-16,32,False
2017-07-23,31,False
2017-07-30,15,False
2017-08-06,0,False
2017-08-13,15,False
2017-08-20,15,False
2017-08-27,16,False
2017-09-03,0,False
2017-09-10,29,False
2017-09-17,15,False
2017-09-24,15,False
2017-10-01,15,False
2017-10-08,0,False
2017-10-15,15,False
2017-10-22,0,False
2017-10-29,14,False
2017-11-05,29,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,0,False
2017-12-03,14,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,16,False
2017-12-31,0,False
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,29,False
2018-03-04,14,False
2018-03-11,14,False
2018-03-18,28,False
2018-03-25,14,False
2018-04-01,0,False
2018-04-08,14,False
2018-04-15,0,False
2018-04-22,56,False
2018-04-29,0,False
2018-05-06,44,False
2018-05-13,15,False
2018-05-20,28,False
2018-05-27,15,False
2018-06-03,0,False
2018-06-10,16,False
2018-06-17,29,False
2018-06-24,26,False
2018-07-01,38,False
2018-07-08,0,False
2018-07-15,14,False
2018-07-22,14,False
2018-07-29,40,False
2018-08-05,13,False
2018-08-12,14,False
2018-08-19,30,False
2018-08-26,29,False
2018-09-02,15,False
2018-09-09,14,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,70,False
2018-10-07,14,False
2018-10-14,28,False
2018-10-21,81,False
2018-10-28,26,False
2018-11-04,28,False
2018-11-11,14,False
2018-11-18,30,False
2018-11-25,28,False
2018-12-02,43,False
2018-12-09,15,False
2018-12-16,15,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,42,False
2019-01-13,85,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,42,False
2019-02-10,0,False
2019-02-17,41,False
2019-02-24,41,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,27,False
2019-03-24,14,False
2019-03-31,44,False
2019-04-07,0,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,29,False
2019-05-12,28,False
2019-05-19,14,False
2019-05-26,29,False
2019-06-02,17,False
2019-06-09,28,False
2019-06-16,14,False
2019-06-23,27,False
2019-06-30,14,False
2019-07-07,28,False
2019-07-14,28,False
2019-07-21,41,False
2019-07-28,13,False
2019-08-04,0,False
2019-08-11,28,False
2019-08-18,0,False
2019-08-25,13,False
2019-09-01,39,False
2019-09-08,38,False
2019-09-15,13,False
2019-09-22,64,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,12,False
2019-10-27,38,False
2019-11-03,0,False
2019-11-10,50,False
2019-11-17,100,False
2019-11-24,25,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,14,False
2020-01-05,0,False
2020-01-12,36,False
2020-01-19,38,False
2020-01-26,38,False
2020-02-02,13,False
2020-02-09,25,False
2020-02-16,13,False
2020-02-23,12,False
2020-03-01,12,False
2020-03-08,36,False
2020-03-15,11,False
2020-03-22,33,False
2020-03-29,21,False
2020-04-05,43,False
2020-04-12,32,False
2020-04-19,0,False
2020-04-26,12,False
2020-05-03,34,False
2020-05-10,35,False
2020-05-17,25,False
2020-05-24,26,False
2020-05-31,21,False
2020-06-07,10,False
2020-06-14,35,False
2020-06-21,12,False
2020-06-28,60,False
2020-07-05,12,False
2020-07-12,69,False
2020-07-19,42,False
2020-07-26,22,False
2020-08-02,10,False
2020-08-09,10,False
2020-08-16,34,False
2020-08-23,21,False
2020-08-30,21,False
2020-09-06,40,False
2020-09-13,30,False
2020-09-20,10,False
2020-09-27,10,False
2020-10-04,10,False
2020-10-11,0,False
2020-10-18,21,False
2020-10-25,22,False
2020-11-01,31,False
2020-11-08,43,False
2020-11-15,0,False
2020-11-22,21,False
2020-11-29,48,False
2020-12-06,96,False
2020-12-13,22,False
2020-12-20,24,False
2020-12-27,38,False
2021-01-03,23,False
2021-01-10,33,False
2021-01-17,34,False
2021-01-24,33,False
2021-01-31,22,False
2021-02-07,56,False
2021-02-14,44,False
2021-02-21,11,False
2021-02-28,21,False
2021-03-07,32,False
2021-03-14,19,False
2021-03-21,21,False
2021-03-28,11,False
2021-04-04,33,False
2021-04-11,11,False
2021-04-18,22,False
2021-04-25,11,False
2021-05-02,23,False
2021-05-09,27,False
2021-05-16,48,False
2021-05-23,23,False
2021-05-30,22,False
2021-06-06,10,False
2021-06-13,33,False
2021-06-20,23,False
2021-06-27,45,False
2021-07-04,59,False
2021-07-11,12,False
2021-07-18,71,False
2021-07-25,0,False
2021-08-01,32,False
2021-08-08,43,False
2021-08-15,11,False
2021-08-22,33,False
2021-08-29,22,False
2021-09-05,11,False
2021-09-12,11,False
2021-09-19,34,False
2021-09-26,23,False
2021-10-03,0,False
2021-10-10,24,False
2021-10-17,48,False
2021-10-24,34,False
2021-10-31,23,False
2021-11-07,24,False
2021-11-14,13,True
