date,Labuhan Batu,isPartial
2016-11-27,16,False
2016-12-04,4,False
2016-12-11,18,False
2016-12-18,14,False
2016-12-25,12,False
2017-01-01,7,False
2017-01-08,14,False
2017-01-15,15,False
2017-01-22,20,False
2017-01-29,20,False
2017-02-05,18,False
2017-02-12,9,False
2017-02-19,13,False
2017-02-26,17,False
2017-03-05,11,False
2017-03-12,13,False
2017-03-19,9,False
2017-03-26,9,False
2017-04-02,13,False
2017-04-09,19,False
2017-04-16,13,False
2017-04-23,24,False
2017-04-30,24,False
2017-05-07,13,False
2017-05-14,23,False
2017-05-21,12,False
2017-05-28,14,False
2017-06-04,33,False
2017-06-11,19,False
2017-06-18,22,False
2017-06-25,11,False
2017-07-02,25,False
2017-07-09,18,False
2017-07-16,26,False
2017-07-23,11,False
2017-07-30,22,False
2017-08-06,11,False
2017-08-13,16,False
2017-08-20,9,False
2017-08-27,14,False
2017-09-03,13,False
2017-09-10,21,False
2017-09-17,17,False
2017-09-24,21,False
2017-10-01,21,False
2017-10-08,15,False
2017-10-15,15,False
2017-10-22,32,False
2017-10-29,23,False
2017-11-05,19,False
2017-11-12,21,False
2017-11-19,17,False
2017-11-26,13,False
2017-12-03,17,False
2017-12-10,15,False
2017-12-17,13,False
2017-12-24,16,False
2017-12-31,20,False
2018-01-07,15,False
2018-01-14,12,False
2018-01-21,32,False
2018-01-28,15,False
2018-02-04,17,False
2018-02-11,17,False
2018-02-18,21,False
2018-02-25,21,False
2018-03-04,25,False
2018-03-11,15,False
2018-03-18,17,False
2018-03-25,15,False
2018-04-01,21,False
2018-04-08,12,False
2018-04-15,37,False
2018-04-22,84,False
2018-04-29,11,False
2018-05-06,21,False
2018-05-13,26,False
2018-05-20,29,False
2018-05-27,30,False
2018-06-03,20,False
2018-06-10,21,False
2018-06-17,25,False
2018-06-24,23,False
2018-07-01,26,False
2018-07-08,6,False
2018-07-15,47,False
2018-07-22,30,False
2018-07-29,19,False
2018-08-05,23,False
2018-08-12,10,False
2018-08-19,22,False
2018-08-26,25,False
2018-09-02,40,False
2018-09-09,27,False
2018-09-16,32,False
2018-09-23,20,False
2018-09-30,41,False
2018-10-07,38,False
2018-10-14,21,False
2018-10-21,36,False
2018-10-28,13,False
2018-11-04,22,False
2018-11-11,16,False
2018-11-18,26,False
2018-11-25,4,False
2018-12-02,31,False
2018-12-09,30,False
2018-12-16,32,False
2018-12-23,16,False
2018-12-30,30,False
2019-01-06,19,False
2019-01-13,19,False
2019-01-20,42,False
2019-01-27,17,False
2019-02-03,23,False
2019-02-10,22,False
2019-02-17,20,False
2019-02-24,20,False
2019-03-03,17,False
2019-03-10,10,False
2019-03-17,12,False
2019-03-24,24,False
2019-03-31,11,False
2019-04-07,17,False
2019-04-14,35,False
2019-04-21,16,False
2019-04-28,28,False
2019-05-05,31,False
2019-05-12,25,False
2019-05-19,20,False
2019-05-26,15,False
2019-06-02,18,False
2019-06-09,21,False
2019-06-16,26,False
2019-06-23,26,False
2019-06-30,14,False
2019-07-07,18,False
2019-07-14,30,False
2019-07-21,12,False
2019-07-28,12,False
2019-08-04,32,False
2019-08-11,100,False
2019-08-18,46,False
2019-08-25,10,False
2019-09-01,11,False
2019-09-08,30,False
2019-09-15,28,False
2019-09-22,30,False
2019-09-29,21,False
2019-10-06,13,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,28,False
2019-11-03,40,False
2019-11-10,39,False
2019-11-17,69,False
2019-11-24,42,False
2019-12-01,11,False
2019-12-08,26,False
2019-12-15,54,False
2019-12-22,14,False
2019-12-29,39,False
2020-01-05,28,False
2020-01-12,40,False
2020-01-19,30,False
2020-01-26,33,False
2020-02-02,20,False
2020-02-09,29,False
2020-02-16,26,False
2020-02-23,9,False
2020-03-01,25,False
2020-03-08,21,False
2020-03-15,16,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,25,False
2020-04-12,20,False
2020-04-19,28,False
2020-04-26,24,False
2020-05-03,20,False
2020-05-10,29,False
2020-05-17,24,False
2020-05-24,23,False
2020-05-31,12,False
2020-06-07,18,False
2020-06-14,19,False
2020-06-21,18,False
2020-06-28,26,False
2020-07-05,33,False
2020-07-12,19,False
2020-07-19,19,False
2020-07-26,13,False
2020-08-02,18,False
2020-08-09,18,False
2020-08-16,25,False
2020-08-23,12,False
2020-08-30,20,False
2020-09-06,31,False
2020-09-13,20,False
2020-09-20,18,False
2020-09-27,19,False
2020-10-04,20,False
2020-10-11,20,False
2020-10-18,20,False
2020-10-25,25,False
2020-11-01,24,False
2020-11-08,20,False
2020-11-15,20,False
2020-11-22,9,False
2020-11-29,28,False
2020-12-06,70,False
2020-12-13,28,False
2020-12-20,25,False
2020-12-27,18,False
2021-01-03,16,False
2021-01-10,29,False
2021-01-17,31,False
2021-01-24,29,False
2021-01-31,34,False
2021-02-07,28,False
2021-02-14,23,False
2021-02-21,16,False
2021-02-28,22,False
2021-03-07,28,False
2021-03-14,18,False
2021-03-21,25,False
