date,Lampung Timur,isPartial
2016-11-27,22,False
2016-12-04,18,False
2016-12-11,24,False
2016-12-18,22,False
2016-12-25,29,False
2017-01-01,25,False
2017-01-08,29,False
2017-01-15,28,False
2017-01-22,23,False
2017-01-29,23,False
2017-02-05,18,False
2017-02-12,13,False
2017-02-19,20,False
2017-02-26,27,False
2017-03-05,19,False
2017-03-12,23,False
2017-03-19,24,False
2017-03-26,25,False
2017-04-02,16,False
2017-04-09,23,False
2017-04-16,12,False
2017-04-23,27,False
2017-04-30,19,False
2017-05-07,12,False
2017-05-14,26,False
2017-05-21,21,False
2017-05-28,22,False
2017-06-04,26,False
2017-06-11,28,False
2017-06-18,19,False
2017-06-25,16,False
2017-07-02,24,False
2017-07-09,23,False
2017-07-16,23,False
2017-07-23,18,False
2017-07-30,22,False
2017-08-06,27,False
2017-08-13,23,False
2017-08-20,26,False
2017-08-27,33,False
2017-09-03,25,False
2017-09-10,21,False
2017-09-17,23,False
2017-09-24,25,False
2017-10-01,24,False
2017-10-08,11,False
2017-10-15,25,False
2017-10-22,27,False
2017-10-29,14,False
2017-11-05,21,False
2017-11-12,27,False
2017-11-19,31,False
2017-11-26,23,False
2017-12-03,26,False
2017-12-10,28,False
2017-12-17,32,False
2017-12-24,27,False
2017-12-31,27,False
2018-01-07,27,False
2018-01-14,30,False
2018-01-21,26,False
2018-01-28,22,False
2018-02-04,21,False
2018-02-11,28,False
2018-02-18,23,False
2018-02-25,28,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,31,False
2018-04-08,20,False
2018-04-15,28,False
2018-04-22,12,False
2018-04-29,25,False
2018-05-06,26,False
2018-05-13,19,False
2018-05-20,33,False
2018-05-27,20,False
2018-06-03,19,False
2018-06-10,13,False
2018-06-17,30,False
2018-06-24,35,False
2018-07-01,21,False
2018-07-08,26,False
2018-07-15,32,False
2018-07-22,26,False
2018-07-29,36,False
2018-08-05,44,False
2018-08-12,32,False
2018-08-19,28,False
2018-08-26,25,False
2018-09-02,30,False
2018-09-09,25,False
2018-09-16,22,False
2018-09-23,35,False
2018-09-30,29,False
2018-10-07,39,False
2018-10-14,29,False
2018-10-21,41,False
2018-10-28,31,False
2018-11-04,27,False
2018-11-11,38,False
2018-11-18,40,False
2018-11-25,38,False
2018-12-02,46,False
2018-12-09,28,False
2018-12-16,36,False
2018-12-23,27,False
2018-12-30,38,False
2019-01-06,26,False
2019-01-13,33,False
2019-01-20,25,False
2019-01-27,38,False
2019-02-03,45,False
2019-02-10,30,False
2019-02-17,29,False
2019-02-24,36,False
2019-03-03,24,False
2019-03-10,28,False
2019-03-17,33,False
2019-03-24,23,False
2019-03-31,17,False
2019-04-07,33,False
2019-04-14,33,False
2019-04-21,41,False
2019-04-28,22,False
2019-05-05,37,False
2019-05-12,23,False
2019-05-19,25,False
2019-05-26,38,False
2019-06-02,33,False
2019-06-09,44,False
2019-06-16,42,False
2019-06-23,27,False
2019-06-30,21,False
2019-07-07,31,False
2019-07-14,32,False
2019-07-21,30,False
2019-07-28,33,False
2019-08-04,39,False
2019-08-11,28,False
2019-08-18,23,False
2019-08-25,34,False
2019-09-01,25,False
2019-09-08,28,False
2019-09-15,34,False
2019-09-22,33,False
2019-09-29,29,False
2019-10-06,36,False
2019-10-13,22,False
2019-10-20,32,False
2019-10-27,33,False
2019-11-03,24,False
2019-11-10,36,False
2019-11-17,50,False
2019-11-24,37,False
2019-12-01,33,False
2019-12-08,38,False
2019-12-15,34,False
2019-12-22,42,False
2019-12-29,34,False
2020-01-05,36,False
2020-01-12,42,False
2020-01-19,33,False
2020-01-26,43,False
2020-02-02,42,False
2020-02-09,34,False
2020-02-16,40,False
2020-02-23,32,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,36,False
2020-03-22,40,False
2020-03-29,33,False
2020-04-05,34,False
2020-04-12,30,False
2020-04-19,43,False
2020-04-26,43,False
2020-05-03,39,False
2020-05-10,32,False
2020-05-17,28,False
2020-05-24,45,False
2020-05-31,33,False
2020-06-07,36,False
2020-06-14,30,False
2020-06-21,43,False
2020-06-28,42,False
2020-07-05,60,False
2020-07-12,39,False
2020-07-19,42,False
2020-07-26,33,False
2020-08-02,34,False
2020-08-09,39,False
2020-08-16,32,False
2020-08-23,34,False
2020-08-30,39,False
2020-09-06,47,False
2020-09-13,52,False
2020-09-20,33,False
2020-09-27,34,False
2020-10-04,28,False
2020-10-11,29,False
2020-10-18,31,False
2020-10-25,36,False
2020-11-01,34,False
2020-11-08,32,False
2020-11-15,37,False
2020-11-22,35,False
2020-11-29,41,False
2020-12-06,100,False
2020-12-13,31,False
2020-12-20,21,False
2020-12-27,49,False
2021-01-03,36,False
2021-01-10,32,False
2021-01-17,39,False
2021-01-24,40,False
2021-01-31,40,False
2021-02-07,42,False
2021-02-14,41,False
2021-02-21,32,False
2021-02-28,33,False
2021-03-07,27,False
2021-03-14,43,False
2021-03-21,30,False
2021-03-28,25,False
2021-04-04,37,False
2021-04-11,39,False
2021-04-18,32,False
2021-04-25,37,False
2021-05-02,29,False
2021-05-09,35,False
2021-05-16,33,False
2021-05-23,28,False
2021-05-30,31,False
2021-06-06,40,False
2021-06-13,36,False
2021-06-20,36,False
2021-06-27,30,False
2021-07-04,43,False
2021-07-11,47,False
2021-07-18,36,False
2021-07-25,43,False
2021-08-01,42,False
2021-08-08,38,False
2021-08-15,35,False
2021-08-22,30,False
2021-08-29,41,False
2021-09-05,38,False
2021-09-12,34,False
2021-09-19,46,False
2021-09-26,30,False
2021-10-03,25,False
2021-10-10,39,False
2021-10-17,44,False
2021-10-24,37,False
