date,Lampung Utara,isPartial
2016-11-27,9,False
2016-12-04,5,False
2016-12-11,12,False
2016-12-18,15,False
2016-12-25,10,False
2017-01-01,8,False
2017-01-08,14,False
2017-01-15,8,False
2017-01-22,7,False
2017-01-29,14,False
2017-02-05,12,False
2017-02-12,13,False
2017-02-19,6,False
2017-02-26,17,False
2017-03-05,10,False
2017-03-12,12,False
2017-03-19,16,False
2017-03-26,12,False
2017-04-02,8,False
2017-04-09,14,False
2017-04-16,7,False
2017-04-23,15,False
2017-04-30,8,False
2017-05-07,18,False
2017-05-14,11,False
2017-05-21,8,False
2017-05-28,11,False
2017-06-04,15,False
2017-06-11,7,False
2017-06-18,10,False
2017-06-25,6,False
2017-07-02,15,False
2017-07-09,10,False
2017-07-16,17,False
2017-07-23,10,False
2017-07-30,8,False
2017-08-06,7,False
2017-08-13,14,False
2017-08-20,9,False
2017-08-27,9,False
2017-09-03,9,False
2017-09-10,12,False
2017-09-17,8,False
2017-09-24,15,False
2017-10-01,13,False
2017-10-08,11,False
2017-10-15,11,False
2017-10-22,12,False
2017-10-29,20,False
2017-11-05,10,False
2017-11-12,10,False
2017-11-19,9,False
2017-11-26,6,False
2017-12-03,9,False
2017-12-10,8,False
2017-12-17,6,False
2017-12-24,12,False
2017-12-31,13,False
2018-01-07,8,False
2018-01-14,10,False
2018-01-21,14,False
2018-01-28,11,False
2018-02-04,11,False
2018-02-11,12,False
2018-02-18,9,False
2018-02-25,9,False
2018-03-04,10,False
2018-03-11,10,False
2018-03-18,10,False
2018-03-25,7,False
2018-04-01,13,False
2018-04-08,10,False
2018-04-15,16,False
2018-04-22,16,False
2018-04-29,9,False
2018-05-06,16,False
2018-05-13,14,False
2018-05-20,9,False
2018-05-27,14,False
2018-06-03,15,False
2018-06-10,7,False
2018-06-17,10,False
2018-06-24,36,False
2018-07-01,14,False
2018-07-08,13,False
2018-07-15,12,False
2018-07-22,15,False
2018-07-29,10,False
2018-08-05,18,False
2018-08-12,16,False
2018-08-19,12,False
2018-08-26,13,False
2018-09-02,9,False
2018-09-09,14,False
2018-09-16,10,False
2018-09-23,20,False
2018-09-30,19,False
2018-10-07,13,False
2018-10-14,9,False
2018-10-21,25,False
2018-10-28,11,False
2018-11-04,13,False
2018-11-11,21,False
2018-11-18,8,False
2018-11-25,13,False
2018-12-02,27,False
2018-12-09,16,False
2018-12-16,16,False
2018-12-23,17,False
2018-12-30,13,False
2019-01-06,10,False
2019-01-13,19,False
2019-01-20,18,False
2019-01-27,10,False
2019-02-03,10,False
2019-02-10,14,False
2019-02-17,14,False
2019-02-24,11,False
2019-03-03,10,False
2019-03-10,9,False
2019-03-17,13,False
2019-03-24,13,False
2019-03-31,18,False
2019-04-07,16,False
2019-04-14,23,False
2019-04-21,18,False
2019-04-28,15,False
2019-05-05,23,False
2019-05-12,15,False
2019-05-19,15,False
2019-05-26,11,False
2019-06-02,12,False
2019-06-09,17,False
2019-06-16,9,False
2019-06-23,13,False
2019-06-30,18,False
2019-07-07,13,False
2019-07-14,11,False
2019-07-21,13,False
2019-07-28,14,False
2019-08-04,9,False
2019-08-11,13,False
2019-08-18,10,False
2019-08-25,19,False
2019-09-01,21,False
2019-09-08,14,False
2019-09-15,11,False
2019-09-22,12,False
2019-09-29,8,False
2019-10-06,100,False
2019-10-13,16,False
2019-10-20,22,False
2019-10-27,18,False
2019-11-03,21,False
2019-11-10,16,False
2019-11-17,20,False
2019-11-24,12,False
2019-12-01,13,False
2019-12-08,16,False
2019-12-15,17,False
2019-12-22,18,False
2019-12-29,14,False
2020-01-05,17,False
2020-01-12,23,False
2020-01-19,20,False
2020-01-26,22,False
2020-02-02,16,False
2020-02-09,13,False
2020-02-16,16,False
2020-02-23,15,False
2020-03-01,18,False
2020-03-08,15,False
2020-03-15,18,False
2020-03-22,15,False
2020-03-29,14,False
2020-04-05,17,False
2020-04-12,13,False
2020-04-19,16,False
2020-04-26,16,False
2020-05-03,13,False
2020-05-10,14,False
2020-05-17,9,False
2020-05-24,11,False
2020-05-31,9,False
2020-06-07,15,False
2020-06-14,15,False
2020-06-21,17,False
2020-06-28,23,False
2020-07-05,16,False
2020-07-12,13,False
2020-07-19,17,False
2020-07-26,18,False
2020-08-02,14,False
2020-08-09,32,False
2020-08-16,24,False
2020-08-23,23,False
2020-08-30,16,False
2020-09-06,16,False
2020-09-13,20,False
2020-09-20,15,False
2020-09-27,15,False
2020-10-04,9,False
2020-10-11,16,False
2020-10-18,15,False
2020-10-25,16,False
2020-11-01,14,False
2020-11-08,15,False
2020-11-15,13,False
2020-11-22,13,False
2020-11-29,17,False
2020-12-06,18,False
2020-12-13,13,False
2020-12-20,17,False
2020-12-27,16,False
2021-01-03,18,False
2021-01-10,20,False
2021-01-17,12,False
2021-01-24,11,False
2021-01-31,19,False
2021-02-07,21,False
2021-02-14,15,False
2021-02-21,11,False
2021-02-28,11,False
2021-03-07,16,False
2021-03-14,17,False
2021-03-21,13,False
2021-03-28,13,False
2021-04-04,13,False
