date,Langkat,isPartial
2016-11-27,21,False
2016-12-04,18,False
2016-12-11,13,False
2016-12-18,17,False
2016-12-25,17,False
2017-01-01,17,False
2017-01-08,27,False
2017-01-15,21,False
2017-01-22,22,False
2017-01-29,18,False
2017-02-05,16,False
2017-02-12,17,False
2017-02-19,24,False
2017-02-26,16,False
2017-03-05,18,False
2017-03-12,23,False
2017-03-19,35,False
2017-03-26,22,False
2017-04-02,29,False
2017-04-09,24,False
2017-04-16,26,False
2017-04-23,37,False
2017-04-30,25,False
2017-05-07,17,False
2017-05-14,19,False
2017-05-21,22,False
2017-05-28,23,False
2017-06-04,24,False
2017-06-11,31,False
2017-06-18,21,False
2017-06-25,14,False
2017-07-02,21,False
2017-07-09,23,False
2017-07-16,15,False
2017-07-23,13,False
2017-07-30,19,False
2017-08-06,17,False
2017-08-13,22,False
2017-08-20,32,False
2017-08-27,27,False
2017-09-03,20,False
2017-09-10,22,False
2017-09-17,16,False
2017-09-24,8,False
2017-10-01,17,False
2017-10-08,12,False
2017-10-15,61,False
2017-10-22,28,False
2017-10-29,26,False
2017-11-05,19,False
2017-11-12,19,False
2017-11-19,22,False
2017-11-26,27,False
2017-12-03,17,False
2017-12-10,26,False
2017-12-17,17,False
2017-12-24,19,False
2017-12-31,29,False
2018-01-07,25,False
2018-01-14,28,False
2018-01-21,17,False
2018-01-28,16,False
2018-02-04,17,False
2018-02-11,19,False
2018-02-18,17,False
2018-02-25,24,False
2018-03-04,26,False
2018-03-11,24,False
2018-03-18,29,False
2018-03-25,20,False
2018-04-01,25,False
2018-04-08,19,False
2018-04-15,22,False
2018-04-22,26,False
2018-04-29,30,False
2018-05-06,22,False
2018-05-13,18,False
2018-05-20,28,False
2018-05-27,23,False
2018-06-03,25,False
2018-06-10,18,False
2018-06-17,25,False
2018-06-24,73,False
2018-07-01,23,False
2018-07-08,24,False
2018-07-15,26,False
2018-07-22,22,False
2018-07-29,24,False
2018-08-05,34,False
2018-08-12,24,False
2018-08-19,36,False
2018-08-26,28,False
2018-09-02,23,False
2018-09-09,22,False
2018-09-16,52,False
2018-09-23,32,False
2018-09-30,53,False
2018-10-07,45,False
2018-10-14,32,False
2018-10-21,58,False
2018-10-28,56,False
2018-11-04,29,False
2018-11-11,31,False
2018-11-18,52,False
2018-11-25,46,False
2018-12-02,51,False
2018-12-09,28,False
2018-12-16,25,False
2018-12-23,48,False
2018-12-30,52,False
2019-01-06,43,False
2019-01-13,48,False
2019-01-20,43,False
2019-01-27,33,False
2019-02-03,30,False
2019-02-10,24,False
2019-02-17,31,False
2019-02-24,27,False
2019-03-03,24,False
2019-03-10,28,False
2019-03-17,26,False
2019-03-24,25,False
2019-03-31,33,False
2019-04-07,20,False
2019-04-14,34,False
2019-04-21,24,False
2019-04-28,29,False
2019-05-05,28,False
2019-05-12,56,False
2019-05-19,30,False
2019-05-26,34,False
2019-06-02,49,False
2019-06-09,45,False
2019-06-16,70,False
2019-06-23,43,False
2019-06-30,32,False
2019-07-07,27,False
2019-07-14,29,False
2019-07-21,27,False
2019-07-28,27,False
2019-08-04,28,False
2019-08-11,22,False
2019-08-18,16,False
2019-08-25,19,False
2019-09-01,25,False
2019-09-08,23,False
2019-09-15,22,False
2019-09-22,27,False
2019-09-29,34,False
2019-10-06,23,False
2019-10-13,33,False
2019-10-20,24,False
2019-10-27,28,False
2019-11-03,30,False
2019-11-10,26,False
2019-11-17,39,False
2019-11-24,32,False
2019-12-01,24,False
2019-12-08,38,False
2019-12-15,30,False
2019-12-22,30,False
2019-12-29,43,False
2020-01-05,23,False
2020-01-12,42,False
2020-01-19,34,False
2020-01-26,26,False
2020-02-02,31,False
2020-02-09,29,False
2020-02-16,34,False
2020-02-23,22,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,23,False
2020-03-22,29,False
2020-03-29,18,False
