date,Lhokseumawe,isPartial
2016-11-27,61,False
2016-12-04,45,False
2016-12-11,42,False
2016-12-18,52,False
2016-12-25,69,False
2017-01-01,44,False
2017-01-08,37,False
2017-01-15,56,False
2017-01-22,37,False
2017-01-29,47,False
2017-02-05,32,False
2017-02-12,64,False
2017-02-19,55,False
2017-02-26,64,False
2017-03-05,63,False
2017-03-12,59,False
2017-03-19,47,False
2017-03-26,52,False
2017-04-02,61,False
2017-04-09,43,False
2017-04-16,44,False
2017-04-23,41,False
2017-04-30,47,False
2017-05-07,42,False
2017-05-14,42,False
2017-05-21,54,False
2017-05-28,53,False
2017-06-04,36,False
2017-06-11,45,False
2017-06-18,51,False
2017-06-25,33,False
2017-07-02,36,False
2017-07-09,37,False
2017-07-16,49,False
2017-07-23,39,False
2017-07-30,42,False
2017-08-06,38,False
2017-08-13,53,False
2017-08-20,54,False
2017-08-27,33,False
2017-09-03,76,False
2017-09-10,51,False
2017-09-17,51,False
2017-09-24,35,False
2017-10-01,43,False
2017-10-08,52,False
2017-10-15,41,False
2017-10-22,64,False
2017-10-29,62,False
2017-11-05,43,False
2017-11-12,35,False
2017-11-19,39,False
2017-11-26,53,False
2017-12-03,42,False
2017-12-10,41,False
2017-12-17,40,False
2017-12-24,56,False
2017-12-31,51,False
2018-01-07,48,False
2018-01-14,49,False
2018-01-21,40,False
2018-01-28,49,False
2018-02-04,57,False
2018-02-11,71,False
2018-02-18,50,False
2018-02-25,57,False
2018-03-04,65,False
2018-03-11,51,False
2018-03-18,38,False
2018-03-25,36,False
2018-04-01,68,False
2018-04-08,45,False
2018-04-15,53,False
2018-04-22,36,False
2018-04-29,60,False
2018-05-06,56,False
2018-05-13,60,False
2018-05-20,63,False
2018-05-27,47,False
2018-06-03,62,False
2018-06-10,52,False
2018-06-17,70,False
2018-06-24,45,False
2018-07-01,51,False
2018-07-08,60,False
2018-07-15,64,False
2018-07-22,61,False
2018-07-29,55,False
2018-08-05,44,False
2018-08-12,52,False
2018-08-19,56,False
2018-08-26,70,False
2018-09-02,43,False
2018-09-09,42,False
2018-09-16,55,False
2018-09-23,56,False
2018-09-30,50,False
2018-10-07,75,False
2018-10-14,51,False
2018-10-21,43,False
2018-10-28,37,False
2018-11-04,59,False
2018-11-11,43,False
2018-11-18,65,False
2018-11-25,52,False
2018-12-02,78,False
2018-12-09,79,False
2018-12-16,68,False
2018-12-23,40,False
2018-12-30,58,False
2019-01-06,93,False
2019-01-13,63,False
2019-01-20,69,False
2019-01-27,81,False
2019-02-03,89,False
2019-02-10,64,False
2019-02-17,66,False
2019-02-24,63,False
2019-03-03,51,False
2019-03-10,38,False
2019-03-17,71,False
2019-03-24,66,False
2019-03-31,62,False
2019-04-07,88,False
2019-04-14,71,False
2019-04-21,97,False
2019-04-28,76,False
2019-05-05,76,False
2019-05-12,73,False
2019-05-19,48,False
2019-05-26,61,False
2019-06-02,100,False
2019-06-09,91,False
2019-06-16,66,False
2019-06-23,73,False
2019-06-30,85,False
2019-07-07,100,False
2019-07-14,98,False
2019-07-21,36,False
2019-07-28,64,False
2019-08-04,51,False
2019-08-11,48,False
2019-08-18,96,False
2019-08-25,86,False
2019-09-01,58,False
2019-09-08,90,False
2019-09-15,61,False
2019-09-22,52,False
2019-09-29,48,False
2019-10-06,34,False
2019-10-13,90,False
2019-10-20,58,False
2019-10-27,66,False
2019-11-03,60,False
2019-11-10,79,False
2019-11-17,67,False
2019-11-24,64,False
2019-12-01,78,False
2019-12-08,61,False
2019-12-15,82,False
2019-12-22,77,False
2019-12-29,62,False
2020-01-05,66,False
2020-01-12,66,False
2020-01-19,63,False
2020-01-26,39,False
2020-02-02,73,False
2020-02-09,63,False
2020-02-16,67,False
2020-02-23,53,False
2020-03-01,90,False
2020-03-08,83,False
2020-03-15,65,False
2020-03-22,68,False
2020-03-29,42,False
2020-04-05,51,False
2020-04-12,70,False
2020-04-19,67,False
2020-04-26,60,False
2020-05-03,52,False
2020-05-10,68,False
2020-05-17,47,False
2020-05-24,62,False
2020-05-31,70,False
2020-06-07,70,False
2020-06-14,47,False
2020-06-21,61,False
2020-06-28,63,False
2020-07-05,73,False
2020-07-12,63,False
2020-07-19,60,False
2020-07-26,42,False
2020-08-02,75,False
2020-08-09,56,False
2020-08-16,65,False
2020-08-23,71,False
2020-08-30,76,False
2020-09-06,73,False
2020-09-13,61,False
2020-09-20,64,False
2020-09-27,57,False
2020-10-04,55,False
2020-10-11,59,False
2020-10-18,52,False
2020-10-25,61,False
2020-11-01,47,False
2020-11-08,61,False
2020-11-15,57,False
2020-11-22,62,False
2020-11-29,60,False
2020-12-06,58,False
2020-12-13,61,False
2020-12-20,52,False
2020-12-27,77,False
