date,Lubuklinggau,isPartial
2016-11-27,29,False
2016-12-04,21,False
2016-12-11,24,False
2016-12-18,4,False
2016-12-25,25,False
2017-01-01,24,False
2017-01-08,25,False
2017-01-15,32,False
2017-01-22,31,False
2017-01-29,27,False
2017-02-05,17,False
2017-02-12,8,False
2017-02-19,31,False
2017-02-26,40,False
2017-03-05,22,False
2017-03-12,26,False
2017-03-19,21,False
2017-03-26,23,False
2017-04-02,24,False
2017-04-09,26,False
2017-04-16,100,False
2017-04-23,56,False
2017-04-30,20,False
2017-05-07,51,False
2017-05-14,33,False
2017-05-21,43,False
2017-05-28,51,False
2017-06-04,26,False
2017-06-11,18,False
2017-06-18,36,False
2017-06-25,29,False
2017-07-02,46,False
2017-07-09,31,False
2017-07-16,34,False
2017-07-23,15,False
2017-07-30,23,False
2017-08-06,28,False
2017-08-13,14,False
2017-08-20,25,False
2017-08-27,26,False
2017-09-03,21,False
2017-09-10,22,False
2017-09-17,32,False
2017-09-24,20,False
2017-10-01,28,False
2017-10-08,39,False
2017-10-15,18,False
2017-10-22,31,False
2017-10-29,37,False
2017-11-05,40,False
2017-11-12,29,False
2017-11-19,26,False
2017-11-26,21,False
2017-12-03,31,False
2017-12-10,28,False
2017-12-17,48,False
2017-12-24,42,False
2017-12-31,44,False
2018-01-07,40,False
2018-01-14,48,False
2018-01-21,36,False
2018-01-28,41,False
2018-02-04,46,False
2018-02-11,37,False
2018-02-18,46,False
2018-02-25,36,False
2018-03-04,40,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,31,False
2018-04-01,41,False
2018-04-08,23,False
2018-04-15,23,False
2018-04-22,51,False
2018-04-29,53,False
2018-05-06,50,False
2018-05-13,55,False
2018-05-20,28,False
2018-05-27,26,False
2018-06-03,43,False
2018-06-10,60,False
2018-06-17,61,False
2018-06-24,69,False
2018-07-01,50,False
2018-07-08,45,False
2018-07-15,43,False
2018-07-22,55,False
2018-07-29,68,False
2018-08-05,52,False
2018-08-12,29,False
2018-08-19,53,False
2018-08-26,44,False
2018-09-02,44,False
2018-09-09,70,False
2018-09-16,47,False
2018-09-23,58,False
2018-09-30,71,False
2018-10-07,43,False
2018-10-14,50,False
2018-10-21,51,False
2018-10-28,52,False
2018-11-04,54,False
2018-11-11,48,False
2018-11-18,34,False
2018-11-25,57,False
2018-12-02,47,False
2018-12-09,43,False
2018-12-16,55,False
2018-12-23,67,False
2018-12-30,53,False
2019-01-06,57,False
2019-01-13,58,False
2019-01-20,54,False
2019-01-27,39,False
2019-02-03,57,False
2019-02-10,45,False
2019-02-17,44,False
2019-02-24,63,False
2019-03-03,68,False
2019-03-10,57,False
2019-03-17,53,False
2019-03-24,43,False
2019-03-31,66,False
2019-04-07,61,False
2019-04-14,58,False
2019-04-21,67,False
2019-04-28,61,False
2019-05-05,56,False
2019-05-12,66,False
2019-05-19,35,False
2019-05-26,65,False
2019-06-02,57,False
2019-06-09,83,False
2019-06-16,56,False
2019-06-23,52,False
2019-06-30,66,False
2019-07-07,68,False
2019-07-14,81,False
2019-07-21,43,False
2019-07-28,37,False
2019-08-04,33,False
2019-08-11,69,False
2019-08-18,62,False
2019-08-25,61,False
2019-09-01,51,False
2019-09-08,45,False
2019-09-15,64,False
2019-09-22,42,False
2019-09-29,72,False
2019-10-06,87,False
2019-10-13,69,False
2019-10-20,38,False
2019-10-27,58,False
2019-11-03,44,False
2019-11-10,59,False
2019-11-17,49,False
2019-11-24,52,False
2019-12-01,56,False
2019-12-08,50,False
2019-12-15,67,False
2019-12-22,64,False
2019-12-29,69,False
2020-01-05,70,False
2020-01-12,55,False
2020-01-19,68,False
2020-01-26,38,False
2020-02-02,63,False
2020-02-09,42,False
2020-02-16,44,False
2020-02-23,39,False
2020-03-01,42,False
2020-03-08,59,False
2020-03-15,68,False
2020-03-22,49,False
2020-03-29,29,False
2020-04-05,30,False
2020-04-12,46,False
2020-04-19,63,False
2020-04-26,39,False
2020-05-03,45,False
2020-05-10,32,False
2020-05-17,26,False
2020-05-24,33,False
2020-05-31,53,False
2020-06-07,53,False
2020-06-14,41,False
2020-06-21,56,False
2020-06-28,52,False
