date,Magelang,isPartial
2016-11-27,43,False
2016-12-04,50,False
2016-12-11,51,False
2016-12-18,59,False
2016-12-25,75,False
2017-01-01,50,False
2017-01-08,51,False
2017-01-15,48,False
2017-01-22,48,False
2017-01-29,47,False
2017-02-05,40,False
2017-02-12,46,False
2017-02-19,47,False
2017-02-26,44,False
2017-03-05,48,False
2017-03-12,44,False
2017-03-19,49,False
2017-03-26,62,False
2017-04-02,60,False
2017-04-09,54,False
2017-04-16,50,False
2017-04-23,59,False
2017-04-30,65,False
2017-05-07,46,False
2017-05-14,74,False
2017-05-21,48,False
2017-05-28,46,False
2017-06-04,46,False
2017-06-11,55,False
2017-06-18,86,False
2017-06-25,71,False
2017-07-02,67,False
2017-07-09,55,False
2017-07-16,58,False
2017-07-23,52,False
2017-07-30,52,False
2017-08-06,48,False
2017-08-13,46,False
2017-08-20,49,False
2017-08-27,53,False
2017-09-03,55,False
2017-09-10,49,False
2017-09-17,48,False
2017-09-24,52,False
2017-10-01,48,False
2017-10-08,51,False
2017-10-15,53,False
2017-10-22,47,False
2017-10-29,52,False
2017-11-05,53,False
2017-11-12,54,False
2017-11-19,48,False
2017-11-26,51,False
2017-12-03,44,False
2017-12-10,50,False
2017-12-17,62,False
2017-12-24,76,False
2017-12-31,65,False
2018-01-07,54,False
2018-01-14,49,False
2018-01-21,53,False
2018-01-28,51,False
2018-02-04,57,False
2018-02-11,61,False
2018-02-18,50,False
2018-02-25,51,False
2018-03-04,53,False
2018-03-11,48,False
2018-03-18,45,False
2018-03-25,58,False
2018-04-01,59,False
2018-04-08,49,False
2018-04-15,55,False
2018-04-22,52,False
2018-04-29,60,False
2018-05-06,62,False
2018-05-13,55,False
2018-05-20,49,False
2018-05-27,55,False
2018-06-03,88,False
2018-06-10,70,False
2018-06-17,75,False
2018-06-24,74,False
2018-07-01,70,False
2018-07-08,63,False
2018-07-15,71,False
2018-07-22,56,False
2018-07-29,57,False
2018-08-05,54,False
2018-08-12,51,False
2018-08-19,47,False
2018-08-26,54,False
2018-09-02,55,False
2018-09-09,54,False
2018-09-16,53,False
2018-09-23,54,False
2018-09-30,64,False
2018-10-07,58,False
2018-10-14,65,False
2018-10-21,73,False
2018-10-28,56,False
2018-11-04,62,False
2018-11-11,65,False
2018-11-18,65,False
2018-11-25,56,False
2018-12-02,57,False
2018-12-09,67,False
2018-12-16,91,False
2018-12-23,98,False
2018-12-30,86,False
2019-01-06,59,False
2019-01-13,62,False
2019-01-20,61,False
2019-01-27,68,False
2019-02-03,75,False
2019-02-10,60,False
2019-02-17,55,False
2019-02-24,58,False
2019-03-03,63,False
2019-03-10,63,False
