date,Manggarai,isPartial
2016-11-27,35,False
2016-12-04,31,False
2016-12-11,31,False
2016-12-18,28,False
2016-12-25,32,False
2017-01-01,28,False
2017-01-08,52,False
2017-01-15,41,False
2017-01-22,39,False
2017-01-29,26,False
2017-02-05,26,False
2017-02-12,35,False
2017-02-19,32,False
2017-02-26,30,False
2017-03-05,77,False
2017-03-12,44,False
2017-03-19,38,False
2017-03-26,35,False
2017-04-02,47,False
2017-04-09,26,False
2017-04-16,40,False
2017-04-23,49,False
2017-04-30,33,False
2017-05-07,43,False
2017-05-14,44,False
2017-05-21,46,False
2017-05-28,38,False
2017-06-04,39,False
2017-06-11,40,False
2017-06-18,44,False
2017-06-25,41,False
2017-07-02,37,False
2017-07-09,39,False
2017-07-16,48,False
2017-07-23,40,False
2017-07-30,48,False
2017-08-06,50,False
2017-08-13,54,False
2017-08-20,36,False
2017-08-27,42,False
2017-09-03,37,False
2017-09-10,56,False
2017-09-17,42,False
2017-09-24,45,False
2017-10-01,55,False
2017-10-08,39,False
2017-10-15,42,False
2017-10-22,47,False
2017-10-29,37,False
2017-11-05,48,False
2017-11-12,45,False
2017-11-19,39,False
2017-11-26,41,False
2017-12-03,48,False
2017-12-10,31,False
2017-12-17,44,False
2017-12-24,45,False
2017-12-31,40,False
2018-01-07,37,False
2018-01-14,39,False
2018-01-21,49,False
2018-01-28,36,False
2018-02-04,53,False
2018-02-11,41,False
2018-02-18,38,False
2018-02-25,40,False
2018-03-04,33,False
2018-03-11,47,False
2018-03-18,38,False
2018-03-25,37,False
2018-04-01,33,False
2018-04-08,41,False
2018-04-15,50,False
2018-04-22,49,False
2018-04-29,49,False
2018-05-06,48,False
2018-05-13,50,False
2018-05-20,51,False
2018-05-27,44,False
2018-06-03,49,False
2018-06-10,28,False
2018-06-17,41,False
2018-06-24,72,False
2018-07-01,44,False
2018-07-08,41,False
2018-07-15,53,False
2018-07-22,42,False
2018-07-29,48,False
2018-08-05,43,False
2018-08-12,54,False
2018-08-19,54,False
2018-08-26,38,False
2018-09-02,52,False
2018-09-09,58,False
2018-09-16,49,False
2018-09-23,54,False
2018-09-30,51,False
2018-10-07,49,False
2018-10-14,58,False
2018-10-21,53,False
2018-10-28,35,False
2018-11-04,60,False
2018-11-11,49,False
2018-11-18,46,False
2018-11-25,49,False
2018-12-02,55,False
2018-12-09,45,False
2018-12-16,47,False
2018-12-23,53,False
2018-12-30,45,False
2019-01-06,51,False
2019-01-13,39,False
2019-01-20,50,False
2019-01-27,40,False
2019-02-03,44,False
2019-02-10,50,False
2019-02-17,46,False
2019-02-24,44,False
2019-03-03,45,False
2019-03-10,49,False
2019-03-17,48,False
2019-03-24,61,False
2019-03-31,48,False
2019-04-07,55,False
2019-04-14,40,False
2019-04-21,66,False
2019-04-28,54,False
2019-05-05,55,False
2019-05-12,43,False
2019-05-19,44,False
2019-05-26,47,False
2019-06-02,44,False
2019-06-09,54,False
2019-06-16,66,False
2019-06-23,81,False
2019-06-30,67,False
2019-07-07,66,False
2019-07-14,65,False
2019-07-21,47,False
2019-07-28,51,False
2019-08-04,51,False
2019-08-11,55,False
2019-08-18,64,False
2019-08-25,55,False
2019-09-01,100,False
2019-09-08,46,False
2019-09-15,44,False
2019-09-22,56,False
2019-09-29,54,False
2019-10-06,87,False
2019-10-13,62,False
2019-10-20,53,False
2019-10-27,84,False
2019-11-03,63,False
2019-11-10,68,False
2019-11-17,64,False
2019-11-24,58,False
2019-12-01,61,False
2019-12-08,61,False
2019-12-15,74,False
2019-12-22,65,False
2019-12-29,91,False
2020-01-05,64,False
2020-01-12,67,False
2020-01-19,57,False
2020-01-26,59,False
2020-02-02,66,False
2020-02-09,74,False
2020-02-16,72,False
2020-02-23,76,False
2020-03-01,49,False
2020-03-08,48,False
2020-03-15,48,False
2020-03-22,35,False
2020-03-29,36,False
2020-04-05,27,False
2020-04-12,29,False
2020-04-19,30,False
2020-04-26,37,False
2020-05-03,34,False
2020-05-10,24,False
2020-05-17,30,False
2020-05-24,34,False
2020-05-31,41,False
2020-06-07,29,False
2020-06-14,27,False
2020-06-21,28,False
2020-06-28,35,False
2020-07-05,38,False
2020-07-12,33,False
2020-07-19,27,False
2020-07-26,45,False
2020-08-02,37,False
2020-08-09,33,False
2020-08-16,30,False
2020-08-23,21,False
2020-08-30,38,False
2020-09-06,30,False
2020-09-13,30,False
2020-09-20,41,False
2020-09-27,29,False
2020-10-04,31,False
2020-10-11,33,False
2020-10-18,34,False
2020-10-25,49,False
2020-11-01,26,False
2020-11-08,37,False
2020-11-15,39,False
2020-11-22,43,False
2020-11-29,38,False
2020-12-06,62,False
2020-12-13,39,False
2020-12-20,38,False
2020-12-27,43,False
2021-01-03,35,False
2021-01-10,31,False
2021-01-17,38,False
2021-01-24,40,False
2021-01-31,32,False
2021-02-07,54,False
2021-02-14,53,False
2021-02-21,41,False
2021-02-28,54,False
2021-03-07,50,False
2021-03-14,45,False
2021-03-21,49,False
2021-03-28,40,False
2021-04-04,47,False
2021-04-11,36,False
2021-04-18,37,False
2021-04-25,40,False
2021-05-02,32,False
2021-05-09,39,False
2021-05-16,41,False
2021-05-23,51,False
2021-05-30,46,False
2021-06-06,49,False
2021-06-13,38,False
2021-06-20,34,False
2021-06-27,40,False
2021-07-04,33,False
2021-07-11,30,False
2021-07-18,34,False
2021-07-25,29,False
2021-08-01,35,False
2021-08-08,21,False
2021-08-15,27,False
2021-08-22,26,False
2021-08-29,29,False
2021-09-05,31,False
2021-09-12,32,False
