date,Maros,isPartial
2016-11-27,26,False
2016-12-04,28,False
2016-12-11,27,False
2016-12-18,16,False
2016-12-25,37,False
2017-01-01,28,False
2017-01-08,57,False
2017-01-15,36,False
2017-01-22,26,False
2017-01-29,36,False
2017-02-05,34,False
2017-02-12,20,False
2017-02-19,16,False
2017-02-26,27,False
2017-03-05,47,False
2017-03-12,30,False
2017-03-19,39,False
2017-03-26,27,False
2017-04-02,34,False
2017-04-09,37,False
2017-04-16,26,False
2017-04-23,32,False
2017-04-30,34,False
2017-05-07,40,False
2017-05-14,34,False
2017-05-21,26,False
2017-05-28,27,False
2017-06-04,37,False
2017-06-11,42,False
2017-06-18,49,False
2017-06-25,31,False
2017-07-02,38,False
2017-07-09,25,False
2017-07-16,38,False
2017-07-23,44,False
2017-07-30,37,False
2017-08-06,40,False
2017-08-13,34,False
2017-08-20,33,False
2017-08-27,48,False
2017-09-03,37,False
2017-09-10,37,False
2017-09-17,37,False
2017-09-24,29,False
2017-10-01,42,False
2017-10-08,32,False
2017-10-15,33,False
2017-10-22,26,False
2017-10-29,29,False
2017-11-05,19,False
2017-11-12,27,False
2017-11-19,36,False
2017-11-26,32,False
2017-12-03,24,False
2017-12-10,31,False
2017-12-17,41,False
2017-12-24,27,False
2017-12-31,35,False
2018-01-07,29,False
2018-01-14,19,False
2018-01-21,17,False
2018-01-28,37,False
2018-02-04,27,False
2018-02-11,28,False
2018-02-18,37,False
2018-02-25,39,False
2018-03-04,46,False
2018-03-11,44,False
2018-03-18,32,False
2018-03-25,26,False
2018-04-01,39,False
2018-04-08,45,False
2018-04-15,43,False
2018-04-22,36,False
2018-04-29,43,False
2018-05-06,41,False
2018-05-13,32,False
2018-05-20,27,False
2018-05-27,30,False
2018-06-03,30,False
2018-06-10,51,False
2018-06-17,37,False
2018-06-24,39,False
2018-07-01,24,False
2018-07-08,36,False
2018-07-15,28,False
2018-07-22,29,False
2018-07-29,26,False
2018-08-05,41,False
2018-08-12,33,False
2018-08-19,25,False
2018-08-26,26,False
2018-09-02,42,False
2018-09-09,46,False
2018-09-16,35,False
2018-09-23,40,False
2018-09-30,31,False
2018-10-07,35,False
2018-10-14,24,False
2018-10-21,49,False
2018-10-28,33,False
2018-11-04,33,False
2018-11-11,20,False
2018-11-18,35,False
2018-11-25,33,False
2018-12-02,47,False
2018-12-09,51,False
2018-12-16,46,False
2018-12-23,35,False
2018-12-30,40,False
2019-01-06,41,False
2019-01-13,39,False
2019-01-20,100,False
2019-01-27,35,False
2019-02-03,33,False
2019-02-10,45,False
2019-02-17,43,False
2019-02-24,25,False
2019-03-03,41,False
2019-03-10,36,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,36,False
2019-04-07,44,False
2019-04-14,51,False
2019-04-21,45,False
2019-04-28,36,False
2019-05-05,47,False
2019-05-12,43,False
2019-05-19,33,False
2019-05-26,36,False
2019-06-02,35,False
2019-06-09,49,False
2019-06-16,43,False
2019-06-23,42,False
2019-06-30,37,False
2019-07-07,49,False
2019-07-14,40,False
2019-07-21,28,False
2019-07-28,51,False
2019-08-04,35,False
2019-08-11,36,False
2019-08-18,35,False
2019-08-25,33,False
2019-09-01,42,False
2019-09-08,31,False
2019-09-15,42,False
2019-09-22,32,False
2019-09-29,29,False
2019-10-06,42,False
2019-10-13,35,False
2019-10-20,41,False
2019-10-27,39,False
2019-11-03,33,False
2019-11-10,46,False
2019-11-17,45,False
2019-11-24,36,False
2019-12-01,40,False
2019-12-08,39,False
2019-12-15,50,False
2019-12-22,56,False
2019-12-29,69,False
2020-01-05,84,False
2020-01-12,38,False
2020-01-19,48,False
2020-01-26,36,False
2020-02-02,34,False
2020-02-09,40,False
2020-02-16,37,False
2020-02-23,39,False
2020-03-01,40,False
2020-03-08,31,False
2020-03-15,40,False
2020-03-22,41,False
2020-03-29,30,False
2020-04-05,24,False
2020-04-12,31,False
2020-04-19,28,False
2020-04-26,34,False
2020-05-03,27,False
2020-05-10,28,False
2020-05-17,34,False
2020-05-24,47,False
2020-05-31,34,False
2020-06-07,41,False
2020-06-14,46,False
2020-06-21,44,False
2020-06-28,42,False
2020-07-05,42,False
2020-07-12,50,False
2020-07-19,26,False
2020-07-26,27,False
2020-08-02,43,False
2020-08-09,34,False
2020-08-16,38,False
2020-08-23,37,False
2020-08-30,32,False
2020-09-06,31,False
2020-09-13,31,False
2020-09-20,34,False
2020-09-27,22,False
2020-10-04,20,False
2020-10-11,27,False
2020-10-18,33,False
2020-10-25,35,False
2020-11-01,34,False
2020-11-08,36,False
2020-11-15,36,False
2020-11-22,37,False
2020-11-29,35,False
2020-12-06,75,False
2020-12-13,40,False
2020-12-20,44,False
2020-12-27,43,False
2021-01-03,35,False
2021-01-10,35,False
2021-01-17,31,False
2021-01-24,37,False
2021-01-31,25,False
2021-02-07,50,False
2021-02-14,30,False
2021-02-21,37,False
2021-02-28,32,False
2021-03-07,37,False
2021-03-14,35,False
2021-03-21,50,False
2021-03-28,40,False
2021-04-04,41,False
2021-04-11,44,False
2021-04-18,30,False
2021-04-25,42,False
2021-05-02,36,False
2021-05-09,31,False
2021-05-16,42,False
2021-05-23,47,False
2021-05-30,52,False
2021-06-06,55,False
2021-06-13,51,False
2021-06-20,37,False
2021-06-27,44,False
2021-07-04,41,False
2021-07-11,34,False
2021-07-18,26,False
2021-07-25,32,False
