date,Mataram,isPartial
2016-11-27,51,False
2016-12-04,43,False
2016-12-11,31,False
2016-12-18,30,False
2016-12-25,33,False
2017-01-01,35,False
2017-01-08,32,False
2017-01-15,39,False
2017-01-22,37,False
2017-01-29,48,False
2017-02-05,42,False
2017-02-12,42,False
2017-02-19,52,False
2017-02-26,47,False
2017-03-05,47,False
2017-03-12,45,False
2017-03-19,42,False
2017-03-26,46,False
2017-04-02,42,False
2017-04-09,41,False
2017-04-16,50,False
2017-04-23,52,False
2017-04-30,49,False
2017-05-07,53,False
2017-05-14,54,False
2017-05-21,46,False
2017-05-28,50,False
2017-06-04,43,False
2017-06-11,40,False
2017-06-18,34,False
2017-06-25,42,False
2017-07-02,48,False
2017-07-09,41,False
2017-07-16,45,False
2017-07-23,48,False
2017-07-30,53,False
2017-08-06,49,False
2017-08-13,42,False
2017-08-20,45,False
2017-08-27,43,False
2017-09-03,48,False
2017-09-10,46,False
2017-09-17,43,False
2017-09-24,50,False
2017-10-01,42,False
2017-10-08,43,False
2017-10-15,45,False
2017-10-22,50,False
2017-10-29,50,False
2017-11-05,46,False
2017-11-12,54,False
2017-11-19,53,False
2017-11-26,50,False
2017-12-03,49,False
2017-12-10,41,False
2017-12-17,35,False
2017-12-24,35,False
2017-12-31,40,False
2018-01-07,43,False
2018-01-14,43,False
2018-01-21,55,False
2018-01-28,55,False
2018-02-04,49,False
2018-02-11,46,False
2018-02-18,47,False
2018-02-25,52,False
2018-03-04,54,False
2018-03-11,49,False
2018-03-18,43,False
2018-03-25,47,False
2018-04-01,62,False
2018-04-08,45,False
2018-04-15,68,False
2018-04-22,53,False
2018-04-29,58,False
2018-05-06,61,False
2018-05-13,51,False
2018-05-20,69,False
2018-05-27,46,False
2018-06-03,48,False
2018-06-10,32,False
2018-06-17,35,False
2018-06-24,41,False
2018-07-01,49,False
2018-07-08,51,False
2018-07-15,49,False
2018-07-22,52,False
2018-07-29,63,False
2018-08-05,61,False
2018-08-12,40,False
2018-08-19,40,False
2018-08-26,43,False
2018-09-02,53,False
2018-09-09,54,False
2018-09-16,49,False
2018-09-23,52,False
2018-09-30,56,False
2018-10-07,49,False
2018-10-14,52,False
2018-10-21,56,False
2018-10-28,56,False
2018-11-04,55,False
2018-11-11,61,False
2018-11-18,70,False
2018-11-25,65,False
2018-12-02,60,False
2018-12-09,45,False
2018-12-16,48,False
2018-12-23,49,False
2018-12-30,50,False
2019-01-06,54,False
2019-01-13,57,False
2019-01-20,60,False
2019-01-27,59,False
2019-02-03,58,False
2019-02-10,54,False
2019-02-17,57,False
2019-02-24,54,False
2019-03-03,56,False
2019-03-10,52,False
2019-03-17,52,False
2019-03-24,63,False
2019-03-31,51,False
2019-04-07,70,False
2019-04-14,56,False
2019-04-21,66,False
2019-04-28,63,False
2019-05-05,63,False
2019-05-12,67,False
2019-05-19,66,False
2019-05-26,53,False
2019-06-02,50,False
2019-06-09,53,False
2019-06-16,48,False
2019-06-23,52,False
2019-06-30,73,False
2019-07-07,66,False
2019-07-14,54,False
2019-07-21,57,False
2019-07-28,63,False
2019-08-04,65,False
2019-08-11,62,False
2019-08-18,52,False
2019-08-25,56,False
2019-09-01,54,False
2019-09-08,56,False
2019-09-15,62,False
2019-09-22,55,False
2019-09-29,53,False
2019-10-06,66,False
2019-10-13,58,False
2019-10-20,57,False
2019-10-27,59,False
2019-11-03,52,False
2019-11-10,57,False
2019-11-17,61,False
2019-11-24,63,False
2019-12-01,63,False
2019-12-08,50,False
2019-12-15,48,False
2019-12-22,55,False
2019-12-29,61,False
2020-01-05,53,False
2020-01-12,58,False
2020-01-19,57,False
2020-01-26,61,False
2020-02-02,69,False
2020-02-09,57,False
2020-02-16,67,False
2020-02-23,67,False
2020-03-01,56,False
2020-03-08,59,False
2020-03-15,60,False
2020-03-22,64,False
2020-03-29,59,False
2020-04-05,57,False
2020-04-12,55,False
2020-04-19,52,False
2020-04-26,46,False
2020-05-03,49,False
2020-05-10,57,False
2020-05-17,40,False
2020-05-24,37,False
2020-05-31,81,False
2020-06-07,87,False
2020-06-14,58,False
2020-06-21,41,False
2020-06-28,54,False
2020-07-05,42,False
2020-07-12,41,False
2020-07-19,41,False
2020-07-26,39,False
2020-08-02,44,False
2020-08-09,48,False
2020-08-16,42,False
2020-08-23,50,False
2020-08-30,52,False
2020-09-06,52,False
2020-09-13,47,False
2020-09-20,53,False
2020-09-27,50,False
2020-10-04,49,False
2020-10-11,42,False
2020-10-18,48,False
2020-10-25,42,False
2020-11-01,47,False
2020-11-08,46,False
2020-11-15,59,False
2020-11-22,71,False
2020-11-29,80,False
2020-12-06,65,False
2020-12-13,43,False
2020-12-20,31,False
2020-12-27,47,False
2021-01-03,45,False
2021-01-10,41,False
2021-01-17,40,False
2021-01-24,40,False
2021-01-31,44,False
2021-02-07,44,False
2021-02-14,50,False
2021-02-21,50,False
2021-02-28,55,False
2021-03-07,57,False
2021-03-14,58,False
2021-03-21,61,False
2021-03-28,53,False
2021-04-04,57,False
2021-04-11,45,False
2021-04-18,49,False
2021-04-25,58,False
2021-05-02,58,False
2021-05-09,37,False
2021-05-16,51,False
2021-05-23,70,False
2021-05-30,74,False
2021-06-06,100,False
2021-06-13,52,False
2021-06-20,44,False
2021-06-27,48,False
2021-07-04,38,False
2021-07-11,37,False
2021-07-18,34,False
2021-07-25,31,False
2021-08-01,36,False
2021-08-08,35,False
2021-08-15,38,False
2021-08-22,43,False
2021-08-29,46,False
2021-09-05,45,False
2021-09-12,44,False
2021-09-19,43,False
2021-09-26,43,False
2021-10-03,48,False
2021-10-10,48,False
2021-10-17,42,False
2021-10-24,52,False
2021-10-31,52,False
2021-11-07,49,False
2021-11-14,60,True
