date,Musi Rawas,isPartial
2016-11-27,10,False
2016-12-04,10,False
2016-12-11,21,False
2016-12-18,21,False
2016-12-25,14,False
2017-01-01,13,False
2017-01-08,5,False
2017-01-15,8,False
2017-01-22,18,False
2017-01-29,10,False
2017-02-05,8,False
2017-02-12,25,False
2017-02-19,25,False
2017-02-26,2,False
2017-03-05,20,False
2017-03-12,12,False
2017-03-19,5,False
2017-03-26,17,False
2017-04-02,15,False
2017-04-09,10,False
2017-04-16,14,False
2017-04-23,7,False
2017-04-30,5,False
2017-05-07,20,False
2017-05-14,13,False
2017-05-21,11,False
2017-05-28,19,False
2017-06-04,13,False
2017-06-11,16,False
2017-06-18,17,False
2017-06-25,6,False
2017-07-02,11,False
2017-07-09,10,False
2017-07-16,11,False
2017-07-23,13,False
2017-07-30,10,False
2017-08-06,5,False
2017-08-13,15,False
2017-08-20,12,False
2017-08-27,8,False
2017-09-03,5,False
2017-09-10,12,False
2017-09-17,15,False
2017-09-24,10,False
2017-10-01,2,False
2017-10-08,7,False
2017-10-15,10,False
2017-10-22,7,False
2017-10-29,14,False
2017-11-05,12,False
2017-11-12,24,False
2017-11-19,22,False
2017-11-26,10,False
2017-12-03,12,False
2017-12-10,12,False
2017-12-17,15,False
2017-12-24,13,False
2017-12-31,5,False
2018-01-07,5,False
2018-01-14,7,False
2018-01-21,17,False
2018-01-28,7,False
2018-02-04,10,False
2018-02-11,5,False
2018-02-18,7,False
2018-02-25,17,False
2018-03-04,10,False
2018-03-11,7,False
2018-03-18,17,False
2018-03-25,14,False
2018-04-01,24,False
2018-04-08,23,False
2018-04-15,16,False
2018-04-22,14,False
2018-04-29,12,False
2018-05-06,12,False
2018-05-13,17,False
2018-05-20,9,False
2018-05-27,17,False
2018-06-03,2,False
2018-06-10,11,False
2018-06-17,15,False
2018-06-24,17,False
2018-07-01,6,False
2018-07-08,11,False
2018-07-15,12,False
2018-07-22,20,False
2018-07-29,22,False
2018-08-05,13,False
2018-08-12,7,False
2018-08-19,13,False
2018-08-26,10,False
2018-09-02,10,False
2018-09-09,19,False
2018-09-16,12,False
2018-09-23,30,False
2018-09-30,35,False
2018-10-07,32,False
2018-10-14,21,False
2018-10-21,63,False
2018-10-28,20,False
2018-11-04,16,False
2018-11-11,23,False
2018-11-18,25,False
2018-11-25,26,False
2018-12-02,50,False
2018-12-09,22,False
2018-12-16,22,False
2018-12-23,24,False
2018-12-30,16,False
2019-01-06,28,False
2019-01-13,9,False
2019-01-20,17,False
2019-01-27,17,False
2019-02-03,16,False
2019-02-10,27,False
2019-02-17,18,False
2019-02-24,21,False
2019-03-03,14,False
2019-03-10,11,False
2019-03-17,14,False
2019-03-24,11,False
2019-03-31,12,False
2019-04-07,31,False
2019-04-14,29,False
2019-04-21,19,False
2019-04-28,22,False
2019-05-05,29,False
2019-05-12,19,False
2019-05-19,12,False
2019-05-26,17,False
2019-06-02,9,False
2019-06-09,10,False
2019-06-16,18,False
2019-06-23,23,False
2019-06-30,12,False
2019-07-07,18,False
2019-07-14,30,False
2019-07-21,18,False
2019-07-28,20,False
2019-08-04,16,False
2019-08-11,19,False
2019-08-18,9,False
2019-08-25,7,False
2019-09-01,17,False
2019-09-08,9,False
2019-09-15,23,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,17,False
2019-10-13,13,False
2019-10-20,15,False
2019-10-27,26,False
2019-11-03,37,False
2019-11-10,67,False
2019-11-17,52,False
2019-11-24,33,False
2019-12-01,14,False
2019-12-08,23,False
2019-12-15,49,False
2019-12-22,30,False
2019-12-29,33,False
2020-01-05,32,False
2020-01-12,12,False
2020-01-19,34,False
2020-01-26,8,False
2020-02-02,30,False
2020-02-09,37,False
2020-02-16,23,False
2020-02-23,35,False
2020-03-01,37,False
2020-03-08,48,False
2020-03-15,30,False
2020-03-22,33,False
2020-03-29,12,False
2020-04-05,16,False
2020-04-12,4,False
2020-04-19,26,False
2020-04-26,23,False
2020-05-03,13,False
2020-05-10,19,False
2020-05-17,17,False
2020-05-24,19,False
2020-05-31,12,False
2020-06-07,24,False
2020-06-14,31,False
2020-06-21,27,False
2020-06-28,22,False
2020-07-05,15,False
2020-07-12,10,False
2020-07-19,23,False
2020-07-26,17,False
2020-08-02,16,False
2020-08-09,9,False
2020-08-16,17,False
2020-08-23,16,False
2020-08-30,19,False
2020-09-06,29,False
2020-09-13,13,False
2020-09-20,13,False
2020-09-27,12,False
2020-10-04,19,False
2020-10-11,35,False
2020-10-18,26,False
2020-10-25,30,False
2020-11-01,36,False
2020-11-08,18,False
2020-11-15,23,False
2020-11-22,27,False
2020-11-29,13,False
2020-12-06,100,False
2020-12-13,30,False
2020-12-20,22,False
2020-12-27,25,False
2021-01-03,23,False
2021-01-10,43,False
2021-01-17,28,False
2021-01-24,13,False
2021-01-31,30,False
2021-02-07,26,False
2021-02-14,20,False
2021-02-21,29,False
2021-02-28,42,False
2021-03-07,25,False
2021-03-14,13,False
2021-03-21,26,False
2021-03-28,32,False
2021-04-04,33,False
2021-04-11,42,False
2021-04-18,33,False
2021-04-25,34,False
2021-05-02,25,False
2021-05-09,18,False
2021-05-16,26,False
2021-05-23,32,False
2021-05-30,31,False
2021-06-06,19,False
2021-06-13,45,False
2021-06-20,25,False
2021-06-27,51,False
2021-07-04,33,False
2021-07-11,39,False
2021-07-18,29,False
2021-07-25,39,False
2021-08-01,30,False
2021-08-08,22,False
2021-08-15,37,False
2021-08-22,22,False
2021-08-29,35,False
2021-09-05,13,False
2021-09-12,17,False
2021-09-19,26,False
2021-09-26,25,False
2021-10-03,23,False
2021-10-10,32,False
2021-10-17,22,False
2021-10-24,28,False
2021-10-31,30,False
2021-11-07,14,False
2021-11-14,29,True
