date,Pacitan,isPartial
2016-11-27,13,False
2016-12-04,16,False
2016-12-11,15,False
2016-12-18,24,False
2016-12-25,23,False
2017-01-01,18,False
2017-01-08,15,False
2017-01-15,16,False
2017-01-22,15,False
2017-01-29,17,False
2017-02-05,14,False
2017-02-12,15,False
2017-02-19,14,False
2017-02-26,11,False
2017-03-05,12,False
2017-03-12,14,False
2017-03-19,11,False
2017-03-26,14,False
2017-04-02,12,False
2017-04-09,13,False
2017-04-16,11,False
2017-04-23,15,False
2017-04-30,12,False
2017-05-07,12,False
2017-05-14,14,False
2017-05-21,12,False
2017-05-28,13,False
2017-06-04,10,False
2017-06-11,14,False
2017-06-18,17,False
2017-06-25,27,False
2017-07-02,25,False
2017-07-09,20,False
2017-07-16,18,False
2017-07-23,14,False
2017-07-30,15,False
2017-08-06,10,False
2017-08-13,14,False
2017-08-20,14,False
2017-08-27,13,False
2017-09-03,16,False
2017-09-10,13,False
2017-09-17,15,False
2017-09-24,14,False
2017-10-01,14,False
2017-10-08,16,False
2017-10-15,15,False
2017-10-22,15,False
2017-10-29,14,False
2017-11-05,13,False
2017-11-12,13,False
2017-11-19,17,False
2017-11-26,100,False
2017-12-03,34,False
2017-12-10,20,False
2017-12-17,14,False
2017-12-24,19,False
2017-12-31,14,False
2018-01-07,15,False
2018-01-14,13,False
2018-01-21,11,False
2018-01-28,12,False
2018-02-04,11,False
2018-02-11,13,False
2018-02-18,18,False
2018-02-25,13,False
2018-03-04,13,False
2018-03-11,14,False
2018-03-18,15,False
2018-03-25,14,False
2018-04-01,14,False
2018-04-08,12,False
2018-04-15,12,False
2018-04-22,13,False
2018-04-29,14,False
2018-05-06,14,False
2018-05-13,11,False
2018-05-20,13,False
2018-05-27,13,False
2018-06-03,12,False
2018-06-10,21,False
2018-06-17,26,False
2018-06-24,18,False
2018-07-01,20,False
2018-07-08,15,False
2018-07-15,16,False
2018-07-22,17,False
2018-07-29,13,False
2018-08-05,11,False
2018-08-12,15,False
2018-08-19,12,False
2018-08-26,13,False
2018-09-02,16,False
2018-09-09,14,False
2018-09-16,14,False
2018-09-23,15,False
2018-09-30,16,False
2018-10-07,15,False
2018-10-14,17,False
2018-10-21,19,False
2018-10-28,15,False
2018-11-04,14,False
2018-11-11,15,False
2018-11-18,16,False
2018-11-25,18,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,19,False
2018-12-23,21,False
2018-12-30,20,False
2019-01-06,13,False
2019-01-13,16,False
2019-01-20,11,False
2019-01-27,14,False
2019-02-03,12,False
2019-02-10,13,False
2019-02-17,13,False
2019-02-24,14,False
2019-03-03,12,False
2019-03-10,13,False
2019-03-17,12,False
2019-03-24,12,False
2019-03-31,14,False
2019-04-07,13,False
2019-04-14,13,False
2019-04-21,13,False
2019-04-28,12,False
2019-05-05,14,False
2019-05-12,15,False
2019-05-19,12,False
2019-05-26,15,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,25,False
2019-06-23,28,False
2019-06-30,27,False
2019-07-07,19,False
2019-07-14,14,False
2019-07-21,13,False
2019-07-28,16,False
2019-08-04,13,False
2019-08-11,15,False
2019-08-18,17,False
2019-08-25,18,False
2019-09-01,15,False
2019-09-08,21,False
2019-09-15,17,False
2019-09-22,15,False
2019-09-29,19,False
2019-10-06,15,False
2019-10-13,16,False
2019-10-20,14,False
2019-10-27,16,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,17,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,18,False
2019-12-15,22,False
2019-12-22,30,False
2019-12-29,32,False
2020-01-05,16,False
2020-01-12,19,False
2020-01-19,21,False
2020-01-26,18,False
2020-02-02,16,False
2020-02-09,17,False
2020-02-16,16,False
2020-02-23,17,False
2020-03-01,14,False
2020-03-08,18,False
2020-03-15,15,False
2020-03-22,11,False
2020-03-29,11,False
2020-04-05,11,False
2020-04-12,10,False
2020-04-19,11,False
2020-04-26,12,False
2020-05-03,12,False
2020-05-10,11,False
2020-05-17,12,False
2020-05-24,11,False
2020-05-31,14,False
2020-06-07,16,False
2020-06-14,14,False
2020-06-21,23,False
2020-06-28,18,False
2020-07-05,14,False
2020-07-12,14,False
2020-07-19,12,False
2020-07-26,12,False
2020-08-02,13,False
2020-08-09,16,False
2020-08-16,19,False
2020-08-23,15,False
2020-08-30,17,False
2020-09-06,17,False
2020-09-13,18,False
2020-09-20,20,False
2020-09-27,15,False
2020-10-04,18,False
2020-10-11,15,False
2020-10-18,16,False
2020-10-25,18,False
2020-11-01,17,False
2020-11-08,16,False
2020-11-15,16,False
2020-11-22,14,False
2020-11-29,18,False
2020-12-06,25,False
2020-12-13,17,False
2020-12-20,17,False
2020-12-27,19,False
2021-01-03,14,False
2021-01-10,12,False
2021-01-17,12,False
2021-01-24,14,False
2021-01-31,11,False
2021-02-07,15,False
2021-02-14,19,False
2021-02-21,11,False
2021-02-28,12,False
2021-03-07,13,False
2021-03-14,14,False
2021-03-21,16,False
2021-03-28,15,False
2021-04-04,14,False
2021-04-11,13,False
2021-04-18,14,False
2021-04-25,16,False
2021-05-02,14,False
2021-05-09,13,False
2021-05-16,18,False
2021-05-23,17,False
2021-05-30,15,False
2021-06-06,18,False
2021-06-13,12,False
2021-06-20,12,False
2021-06-27,13,False
2021-07-04,11,False
2021-07-11,9,False
2021-07-18,9,False
2021-07-25,9,False
