date,Padang Lawas Utara,isPartial
2016-11-27,27,False
2016-12-04,13,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,29,False
2017-01-01,42,False
2017-01-08,0,False
2017-01-15,27,False
2017-01-22,27,False
2017-01-29,14,False
2017-02-05,27,False
2017-02-12,53,False
2017-02-19,40,False
2017-02-26,0,False
2017-03-05,39,False
2017-03-12,13,False
2017-03-19,13,False
2017-03-26,13,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,25,False
2017-04-23,13,False
2017-04-30,0,False
2017-05-07,13,False
2017-05-14,14,False
2017-05-21,0,False
2017-05-28,28,False
2017-06-04,0,False
2017-06-11,28,False
2017-06-18,0,False
2017-06-25,17,False
2017-07-02,0,False
2017-07-09,14,False
2017-07-16,14,False
2017-07-23,0,False
2017-07-30,40,False
2017-08-06,13,False
2017-08-13,14,False
2017-08-20,26,False
2017-08-27,0,False
2017-09-03,26,False
2017-09-10,52,False
2017-09-17,13,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,13,False
2017-10-15,52,False
2017-10-22,26,False
2017-10-29,38,False
2017-11-05,52,False
2017-11-12,0,False
2017-11-19,26,False
2017-11-26,13,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,14,False
2017-12-31,0,False
2018-01-07,13,False
2018-01-14,0,False
2018-01-21,13,False
2018-01-28,39,False
2018-02-04,26,False
2018-02-11,0,False
2018-02-18,13,False
2018-02-25,51,False
2018-03-04,13,False
2018-03-11,25,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,13,False
2018-04-08,12,False
2018-04-15,12,False
2018-04-22,37,False
2018-04-29,26,False
2018-05-06,39,False
2018-05-13,13,False
2018-05-20,25,False
2018-05-27,13,False
2018-06-03,13,False
2018-06-10,14,False
2018-06-17,0,False
2018-06-24,69,False
2018-07-01,34,False
2018-07-08,12,False
2018-07-15,12,False
2018-07-22,12,False
2018-07-29,12,False
2018-08-05,12,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,13,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,61,False
2018-09-23,25,False
2018-09-30,12,False
2018-10-07,36,False
2018-10-14,13,False
2018-10-21,84,False
2018-10-28,35,False
2018-11-04,37,False
2018-11-11,37,False
2018-11-18,53,False
2018-11-25,62,False
2018-12-02,63,False
2018-12-09,52,False
2018-12-16,26,False
2018-12-23,28,False
2018-12-30,28,False
2019-01-06,38,False
2019-01-13,0,False
2019-01-20,25,False
2019-01-27,38,False
2019-02-03,12,False
2019-02-10,12,False
2019-02-17,24,False
2019-02-24,12,False
2019-03-03,13,False
2019-03-10,24,False
2019-03-17,12,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,25,False
2019-04-14,51,False
2019-04-21,74,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,12,False
2019-05-19,49,False
2019-05-26,0,False
2019-06-02,15,False
2019-06-09,50,False
2019-06-16,12,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,12,False
2019-07-14,25,False
2019-07-21,0,False
2019-07-28,35,False
2019-08-04,49,False
2019-08-11,0,False
2019-08-18,36,False
2019-08-25,47,False
2019-09-01,23,False
2019-09-08,0,False
2019-09-15,11,False
2019-09-22,34,False
2019-09-29,0,False
2019-10-06,23,False
2019-10-13,46,False
2019-10-20,0,False
2019-10-27,34,False
2019-11-03,0,False
2019-11-10,100,False
2019-11-17,77,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,56,False
2019-12-15,12,False
2019-12-22,24,False
2019-12-29,62,False
2020-01-05,34,False
2020-01-12,21,False
2020-01-19,45,False
2020-01-26,67,False
2020-02-02,34,False
2020-02-09,33,False
2020-02-16,33,False
