date,Pagar Alam,isPartial
2016-11-27,31,False
2016-12-04,19,False
2016-12-11,22,False
2016-12-18,17,False
2016-12-25,29,False
2017-01-01,28,False
2017-01-08,26,False
2017-01-15,25,False
2017-01-22,27,False
2017-01-29,18,False
2017-02-05,23,False
2017-02-12,20,False
2017-02-19,31,False
2017-02-26,21,False
2017-03-05,16,False
2017-03-12,26,False
2017-03-19,18,False
2017-03-26,16,False
2017-04-02,26,False
2017-04-09,35,False
2017-04-16,19,False
2017-04-23,19,False
2017-04-30,14,False
2017-05-07,28,False
2017-05-14,20,False
2017-05-21,19,False
2017-05-28,11,False
2017-06-04,23,False
2017-06-11,13,False
2017-06-18,14,False
2017-06-25,27,False
2017-07-02,21,False
2017-07-09,27,False
2017-07-16,27,False
2017-07-23,24,False
2017-07-30,30,False
2017-08-06,25,False
2017-08-13,22,False
2017-08-20,32,False
2017-08-27,28,False
2017-09-03,32,False
2017-09-10,28,False
2017-09-17,26,False
2017-09-24,24,False
2017-10-01,19,False
2017-10-08,28,False
2017-10-15,19,False
2017-10-22,16,False
2017-10-29,27,False
2017-11-05,38,False
2017-11-12,41,False
2017-11-19,21,False
2017-11-26,38,False
2017-12-03,29,False
2017-12-10,31,False
2017-12-17,45,False
2017-12-24,37,False
2017-12-31,38,False
2018-01-07,14,False
2018-01-14,23,False
2018-01-21,9,False
2018-01-28,28,False
2018-02-04,16,False
2018-02-11,21,False
2018-02-18,27,False
2018-02-25,27,False
2018-03-04,27,False
2018-03-11,19,False
2018-03-18,17,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,30,False
2018-04-15,23,False
2018-04-22,30,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,25,False
2018-05-20,22,False
2018-05-27,21,False
2018-06-03,14,False
2018-06-10,25,False
2018-06-17,36,False
2018-06-24,48,False
2018-07-01,21,False
2018-07-08,23,False
2018-07-15,25,False
2018-07-22,22,False
2018-07-29,21,False
2018-08-05,23,False
2018-08-12,19,False
2018-08-19,23,False
2018-08-26,36,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,11,False
2018-09-23,17,False
2018-09-30,17,False
2018-10-07,18,False
2018-10-14,12,False
2018-10-21,14,False
2018-10-28,11,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,46,False
2018-11-25,25,False
2018-12-02,36,False
2018-12-09,26,False
2018-12-16,31,False
2018-12-23,50,False
2018-12-30,41,False
2019-01-06,27,False
2019-01-13,30,False
2019-01-20,19,False
2019-01-27,13,False
2019-02-03,32,False
2019-02-10,26,False
2019-02-17,38,False
2019-02-24,25,False
2019-03-03,20,False
2019-03-10,18,False
2019-03-17,23,False
2019-03-24,31,False
2019-03-31,22,False
2019-04-07,24,False
2019-04-14,32,False
2019-04-21,30,False
2019-04-28,19,False
2019-05-05,20,False
2019-05-12,28,False
2019-05-19,25,False
2019-05-26,28,False
2019-06-02,43,False
2019-06-09,37,False
2019-06-16,29,False
2019-06-23,31,False
2019-06-30,28,False
2019-07-07,25,False
2019-07-14,18,False
2019-07-21,21,False
2019-07-28,27,False
2019-08-04,20,False
2019-08-11,17,False
2019-08-18,26,False
2019-08-25,21,False
2019-09-01,19,False
2019-09-08,29,False
2019-09-15,26,False
2019-09-22,23,False
2019-09-29,21,False
2019-10-06,8,False
2019-10-13,18,False
2019-10-20,35,False
2019-10-27,18,False
2019-11-03,28,False
2019-11-10,21,False
2019-11-17,28,False
2019-11-24,13,False
2019-12-01,37,False
2019-12-08,54,False
2019-12-15,49,False
2019-12-22,100,False
2019-12-29,32,False
2020-01-05,20,False
2020-01-12,20,False
2020-01-19,29,False
2020-01-26,15,False
2020-02-02,23,False
2020-02-09,12,False
2020-02-16,16,False
2020-02-23,19,False
2020-03-01,20,False
2020-03-08,13,False
2020-03-15,15,False
2020-03-22,27,False
