kota,trend
Aceh Barat,29.06896551724138
Aceh Barat Daya,27.7816091954023
Aceh Besar,27.0
Aceh Jaya,39.27969348659004
Aceh Selatan,24.800766283524904
Aceh Singkil,32.86206896551724
Aceh Tamiang,27.386973180076627
Aceh Tengah,32.839080459770116
Aceh Tenggara,27.080459770114942
Aceh Timur,25.77777777777778
Aceh Utara,36.099616858237546
Agam,16.256704980842912
Alor,25.409961685823756
Ambon,43.030651340996165
Asahan,40.724137931034484
Asmat,16.532567049808428
Batam,71.50574712643679
Badung,56.17624521072797
Balangan,29.555555555555557
Balikpapan,62.0727969348659
Banda Aceh,66.4176245210728
Bandar Lampung,61.160919540229884
Bandung,62.48275862068966
Bandung Barat,46.57471264367816
Banggai,16.191570881226053
Banggai Kepulauan,8.444444444444445
Bangka,69.67816091954023
Bangka Barat,35.099616858237546
Bangka Selatan,29.31800766283525
Bangka Tengah,20.088122605363985
Bangkalan,37.83524904214559
Bangli,37.94252873563219
Banjar,67.39463601532567
Banjar Baru,35.264367816091955
Banjarmasin,50.3639846743295
Banjarnegara,25.61685823754789
Bantaeng,26.590038314176244
Bantul,57.59003831417625
Banyu Asin,19.14176245210728
Banyumas,37.06130268199234
Banyuwangi,21.233716475095786
Barito Kuala,25.75862068965517
Barito Selatan,30.386973180076627
Barito Timur,30.517241379310345
Barito Utara,14.992337164750959
Barru,15.582375478927203
Baru,33.54406130268199
Batang,29.90038314176245
Batang Hari,18.9272030651341
Batu,74.02298850574712
Batu Bara,33.50191570881226
Baubau,27.56704980842912
Bekasi,60.252873563218394
Belitung,54.69731800766284
Belitung Timur,17.18007662835249
Belu,19.53639846743295
Bener Meriah,15.49808429118774
Bengkalis,23.881226053639846
Bengkayang,11.835249042145595
Bengkulu,62.275862068965516
Bengkulu Selatan,26.521072796934867
Bengkulu Tengah,29.03065134099617
Bengkulu Utara,44.440613026819925
Berau,51.61302681992337
Biak Numfor,14.482758620689655
Bima,27.551724137931036
Binjai,26.942528735632184
Bintan,45.83141762452107
Bireuen,22.68199233716475
Bitung,58.46360153256705
Blitar,57.35632183908046
Blora,35.26053639846743
Boalemo,16.160919540229884
Bogor,57.61302681992337
Bojonegoro,47.62452107279694
Bolaang Mongondow,25.88888888888889
Bolaang Mongondow Selatan,9.75095785440613
Bolaang Mongondow Timur,9.842911877394636
Bolaang Mongondow Utara,17.486590038314176
Bombana,9.708812260536398
Bondowoso,6.85823754789272
Bone,9.735632183908047
Bone Bolango,18.8544061302682
Bontang,57.67432950191571
Boven Digoel,2.6091954022988504
Boyolali,21.559386973180075
Brebes,31.21455938697318
Bukittinggi,46.76245210727969
Buleleng,48.29501915708812
Bulukumba,7.540229885057471
Bulungan,46.559386973180075
Bungo,58.88122605363985
Buol,32.31417624521073
Buru,55.50191570881226
Buton,12.915708812260537
Buton Utara,26.134099616858236
Ciamis,55.97318007662835
Cianjur,41.04597701149425
Cilacap,46.90421455938697
Cilegon,54.95785440613027
Cimahi,57.9272030651341
Cirebon,53.6360153256705
Dumai,61.88505747126437
Dairi,17.977011494252874
Deiyai,6.134099616858237
Deli Serdang,21.367816091954023
