kota,trend
Batu,74.02298850574712
Batam,71.50574712643679
Manado,70.73946360153256
Bangka,69.67816091954023
Medan,68.183908045977
Jakarta Pusat,67.74329501915709
Banjar,67.39463601532567
Jakarta Utara,67.03065134099617
Banda Aceh,66.4176245210728
Kupang,64.9080459770115
Jakarta Barat,64.26436781609195
Jakarta Selatan,64.19157088122606
Jambi,64.16091954022988
Gresik,63.75478927203065
Yogyakarta,63.6551724137931
Tangerang,63.509578544061306
Denpasar,62.81609195402299
Bandung,62.48275862068966
Bengkulu,62.27586206896552
Balikpapan,62.0727969348659
Dumai,61.88505747126437
Bandar Lampung,61.16091954022989
Malang,60.9080459770115
Palembang,60.84291187739464
Rembang,60.616858237547895
Jember,60.35632183908046
Bekasi,60.2528735632184
Sragen,60.065134099616856
Jakarta Timur,59.76628352490422
Padang,59.06896551724138
Magelang,59.030651340996165
Bungo,58.88122605363985
Pekanbaru,58.75095785440613
Bitung,58.46360153256705
Pekalongan,57.94636015325671
Cimahi,57.9272030651341
Temanggung,57.8007662835249
Bontang,57.67432950191571
Bogor,57.61302681992337
Bantul,57.59003831417625
Semarang,57.5823754789272
Madiun,57.50574712643678
Blitar,57.35632183908046
Surakarta,57.22222222222222
Makassar,56.2528735632184
Badung,56.17624521072797
Tabanan,56.053639846743295
Palopo,55.9808429118774
Ciamis,55.97318007662835
Trenggalek,55.888888888888886
Buru,55.50191570881226
Grobogan,55.42528735632184
Tarakan,55.36015325670498
Cilegon,54.95785440613027
Belitung,54.69731800766284
Depok,54.61302681992337
Kendal,54.272030651341
Jombang,54.12260536398468
Kulon Progo,53.73180076628353
Cirebon,53.6360153256705
Tangerang Selatan,53.14176245210728
Kediri,52.55555555555556
Ngawi,52.4367816091954
Salatiga,52.16091954022989
Mataram,52.06130268199234
Karo,51.64367816091954
Berau,51.61302681992337
Kudus,51.367816091954026
Pati,50.99616858237548
Padang Panjang,50.80459770114943
Pariaman,50.79693486590038
Pematang Siantar,50.45977011494253
Banjarmasin,50.3639846743295
Langsa,50.21455938697318
Tanjung Balai,49.88122605363985
Ponorogo,49.49425287356322
Gorontalo,49.43295019157088
Singkawang,48.39463601532567
Sabang,48.38697318007663
Merauke,48.367816091954026
Pringsewu,48.31800766283525
Buleleng,48.29501915708812
Tulungagung,48.195402298850574
Karanganyar,48.18007662835249
Siak,48.14942528735632
Klaten,48.0919540229885
Payakumbuh,48.07662835249042
Kerinci,47.95785440613027
Tual,47.95785440613027
Sanggau,47.76245210727969
Palangka Raya,47.628352490421456
Bojonegoro,47.62452107279694
Cilacap,46.90421455938697
Bukittinggi,46.76245210727969
Tegal,46.7088122605364
Bandung Barat,46.57471264367816
Bulungan,46.55938697318008
Sambas,46.310344827586206
Purwakarta,46.11111111111112
Magetan,45.89655172413793
Bintan,45.83141762452107
Sidoarjo,45.46743295019157
Puncak,45.39846743295019
Sukoharjo,45.28352490421456
Tuban,45.25670498084291
Kebumen,45.05747126436781
Majalengka,44.96934865900384
Soppeng,44.71264367816092
Sumbawa,44.63984674329502
Gianyar,44.59003831417625
Pasuruan,44.5632183908046
Bengkulu Utara,44.440613026819925
Tasikmalaya,44.11494252873563
Wonosobo,43.72413793103448
Karawang,43.41379310344828
Sumedang,43.22222222222222
Kuningan,43.18390804597701
Ambon,43.030651340996165
Wonogiri,42.9808429118774
Dompu,42.96551724137931
Tanjung Pinang,42.95785440613027
Padang Pariaman,42.85057471264368
Sukabumi,42.63218390804597
Kapuas,42.547892720306514
Demak,42.31417624521073
Lhokseumawe,42.26053639846743
Mojokerto,42.05747126436781
Karimun,41.74329501915709
Landak,41.55938697318008
Cianjur,41.04597701149425
Tapin,40.93486590038314
Sumenep,40.91570881226053
Asahan,40.72413793103448
Ende,40.72413793103448
Manggarai,40.66666666666666
Pemalang,40.06130268199234
Metro,39.82758620689656
Sijunjung,39.77394636015325
Gunungsitoli,39.4367816091954
Aceh Jaya,39.27969348659004
Tabalong,39.18007662835249
Sorong,38.84291187739464
Jepara,38.70498084291188
Lahat,38.689655172413794
Tulang Bawang Barat,38.55938697318008
Merangin,38.54406130268199
Kubu Raya,38.45593869731801
Nias,38.26819923371647
Lingga,38.2183908045977
Samarinda,37.98850574712644
Bangli,37.94252873563219
Subulussalam,37.9272030651341
Tebo,37.83908045977012
Bangkalan,37.83524904214559
Lubuklinggau,37.68199233716475
Kayong Utara,37.66283524904215
Gunung Kidul,37.52873563218391
Purbalingga,37.440613026819925
Seruyan,37.35632183908046
Kaur,37.26436781609196
Pontianak,37.08812260536399
Banyumas,37.06130268199234
Pasaman,36.97318007662835
Lamandau,36.88122605363985
Kendari,36.81992337164751
Fakfak,36.49425287356322
Solok,36.452107279693486
Padangsidimpuan,36.367816091954026
Aceh Utara,36.099616858237546
Sumbawa Barat,35.69731800766284
Tebing Tinggi,35.58620689655172
Prabumulih,35.53256704980843
Banjar Baru,35.264367816091955
Blora,35.26053639846743
Bangka Barat,35.099616858237546
Hulu Sungai Selatan,34.6551724137931
Maros,34.52873563218391
Wakatobi,34.46360153256705
Gorontalo Utara,34.41379310344828
Kuantan Singingi,34.09578544061303
Muna,33.87356321839081
Lampung Timur,33.69348659003831
Sintang,33.5632183908046
Baru,33.54406130268199
Batu Bara,33.50191570881226
Ketapang,33.37931034482759
Kutai Barat,33.28352490421456
Pesawaran,33.088122605363985
Kotawaringin Barat,33.019157088122604
Aceh Singkil,32.86206896551724
Aceh Tengah,32.83908045977012
Ogan Ilir,32.37931034482759
Buol,32.31417624521073
Lombok Barat,32.13793103448276
Indragiri Hilir,32.12643678160919
Serdang Bedagai,31.89272030651341
Tapanuli Selatan,31.865900383141764
Kotamobagu,31.597701149425287
Sukamara,31.4176245210728
Brebes,31.21455938697318
Musi Banyuasin,30.95402298850575
Tanah Bumbu,30.946360153256705
Sikka,30.674329501915707
Pamekasan,30.613026819923373
Surabaya,30.547892720306518
Barito Timur,30.517241379310345
Mimika,30.45210727969349
Sleman,30.4176245210728
Barito Selatan,30.386973180076627
Maluku Tengah,29.90421455938697
Batang,29.90038314176245
Gowa,29.578544061302683
Balangan,29.55555555555556
Nabire,29.46743295019157
Mappi,29.367816091954023
Bangka Selatan,29.31800766283525
Sungai Penuh,29.27969348659004
Malinau,29.27586206896552
Probolinggo,29.0727969348659
Aceh Barat,29.06896551724138
Bengkulu Tengah,29.03065134099617
Nganjuk,28.800766283524904
Melawi,28.78544061302682
Muaro Jambi,28.4176245210728
Parepare,28.39463601532567
Tanjung Jabung Timur,28.33333333333333
Pangandaran,27.99616858237548
Pesisir Selatan,27.873563218390803
Subang,27.84674329501916
Aceh Barat Daya,27.7816091954023
Mukomuko,27.739463601532567
Baubau,27.56704980842912
Bima,27.55172413793104
Aceh Tamiang,27.386973180076627
Kaimana,27.35249042145594
Kepulauan Meranti,27.084291187739463
Aceh Tenggara,27.080459770114945
Aceh Besar,27.0
Binjai,26.942528735632184
Lombok Timur,26.89655172413793
Bantaeng,26.590038314176244
Bengkulu Selatan,26.521072796934867
Sampang,26.24904214559387
Pelalawan,26.233716475095783
Sarmi,26.203065134099617
Enrekang,26.164750957854405
Buton Utara,26.13409961685824
Lamongan,26.015325670498083
Bolaang Mongondow,25.88888888888889
Aceh Timur,25.77777777777778
Barito Kuala,25.75862068965517
Lombok Tengah,25.69731800766284
Gayo Lues,25.62452107279693
Banjarnegara,25.61685823754789
Alor,25.40996168582376
Simeulue,25.13793103448276
Padang Lawas,24.9808429118774
Karang Asem,24.831417624521077
Aceh Selatan,24.800766283524904
Kolaka,24.63984674329502
Purworejo,24.5632183908046
Ternate,24.46360153256705
Lebong,24.406130268199234
Nias Utara,24.38314176245211
Ogan Komering Ilir,24.2183908045977
Kepulauan Aru,24.153256704980844
Padang Lawas Utara,24.088122605363985
Sidenreng Rappang,24.04597701149425
Sarolangun,24.03831417624521
Lima Puluh Kota,23.98467432950192
Bengkalis,23.88122605363985
Maluku Tenggara Barat,23.804597701149422
Keerom,23.78544061302682
Langkat,23.7816091954023
Luwu,23.67049808429119
Tanjung Jabung Barat,23.64750957854406
Labuhan Batu Selatan,23.444444444444443
Pasaman Barat,23.24904214559387
Minahasa,23.226053639846743
Tanah Datar,23.21455938697318
Puncak Jaya,23.21072796934866
Tapanuli Utara,23.20689655172414
Tapanuli Tengah,22.92337164750958
Sekadau,22.770114942528732
Bireuen,22.68199233716475
Samosir,22.63984674329502
Labuhan Batu Utara,22.60919540229885
Muara Enim,22.39463601532567
Pulang Pisau,22.33333333333333
Lampung Barat,22.199233716475096
Lembata,22.1455938697318
Polewali Mandar,22.05363984674329
Waropen,22.026819923371647
Kepulauan Anambas,22.015325670498083
Timor Tengah Selatan,21.9808429118774
Boyolali,21.559386973180075
Pidie,21.517241379310345
Halmahera Utara,21.50574712643678
Deli Serdang,21.367816091954023
Morowali,21.245210727969347
Banyuwangi,21.233716475095783
Kapuas Hulu,21.11111111111111
Wajo,21.049808429118773
Rote Ndao,21.03831417624521
Pagar Alam,21.026819923371647
Hulu Sungai Utara,21.019157088122604
Ogan Komering Ulu,20.885057471264368
Jayapura,20.877394636015325
Jeneponto,20.873563218390803
Halmahera Tengah,20.8544061302682
Nagan Raya,20.82758620689655
Murung Raya,20.659003831417625
Labuhan Batu,20.64750957854406
Sawah Lunto,20.509578544061306
Simalungun,20.367816091954023
Lampung Selatan,20.33333333333333
Sumba Barat,20.325670498084293
Konawe,20.314176245210728
Ogan Komering Ulu Selatan,20.27969348659004
Tana Tidung,20.24904214559387
Rejang Lebong,20.203065134099617
Minahasa Tenggara,20.1455938697318
Nias Barat,20.122605363984675
Rokan Hulu,20.10727969348659
Bangka Tengah,20.088122605363985
Indragiri Hulu,19.808429118773947
Empat Lawang,19.804597701149422
Kampar,19.674329501915707
Belu,19.53639846743295
Sinjai,19.367816091954023
Toraja Utara,19.33333333333333
Banyu Asin,19.14176245210728
Tanggamus,19.011494252873565
Batang Hari,18.9272030651341
Kepahiang,18.869731800766285
Bone Bolango,18.8544061302682
Seluma,18.84674329501916
Lampung Tengah,18.754789272030653
Tomohon,18.632183908045977
Musi Rawas,18.57088122605364
Lumajang,18.314176245210728
Mamuju Utara,18.260536398467437
Rokan Hilir,18.237547892720308
Solok Selatan,17.980842911877396
Dairi,17.977011494252874
Lebak,17.81992337164751
Pohuwato,17.7816091954023
Nias Selatan,17.77777777777778
Konawe Selatan,17.754789272030653
Jayawijaya,17.624521072796934
Mandailing Natal,17.486590038314176
Bolaang Mongondow Utara,17.486590038314176
Way Kanan,17.421455938697317
Pandeglang,17.28352490421456
Tanah Laut,17.226053639846743
Flores Timur,17.20689655172414
Belitung Timur,17.18007662835249
Sumba Barat Daya,16.873563218390803
Tana Toraja,16.724137931034484
Sumba Tengah,16.685823754789272
Asmat,16.532567049808428
Luwu Timur,16.417624521072796
Seram Bagian Barat,16.32183908045977
Agam,16.256704980842912
Kepulauan Mentawai,16.233716475095786
Banggai,16.191570881226053
Parigi Moutong,16.18007662835249
Boalemo,16.160919540229884
Timor Tengah Utara,16.134099616858236
Poso,16.11111111111111
Pacitan,15.735632183908049
Barru,15.582375478927204
Bener Meriah,15.49808429118774
Sorong Selatan,15.482758620689657
Kutai Timur,15.475095785440612
Tidore Kepulauan,15.306513409961688
Pinrang,15.268199233716476
Lampung Utara,15.241379310344827
Toba Samosir,15.11111111111111
Barito Utara,14.99233716475096
Kepulauan Sula,14.977011494252874
Seram Bagian Timur,14.670498084291188
Gunung Mas,14.659003831417625
Pesisir Barat,14.563218390804598
Biak Numfor,14.482758620689657
Tolikara,14.260536398467432
Halmahera Barat,14.17624521072797
Minahasa Utara,14.157088122605364
Intan Jaya,13.766283524904214
Toli toli,13.53256704980843
Manggarai Timur,13.459770114942527
Kepulauan Selayar,13.42528735632184
Konawe Utara,13.160919540229886
Garut,13.049808429118777
Jembrana,13.03831417624521
Buton,12.915708812260537
Teluk Bintuni,12.89655172413793
Kotawaringin Timur,12.8544061302682
Ogan Komering Ulu Timur,12.731800766283524
Maluku Tenggara,12.697318007662837
Sumba Timur,12.513409961685824
Supiori,12.436781609195402
Manggarai Barat,12.260536398467432
Paser,12.045977011494251
Bengkayang,11.835249042145596
Maluku Barat Daya,11.808429118773946
Dharmasraya,11.78544061302682
Kepulauan Yapen,11.597701149425289
Halmahera Selatan,11.567049808429118
Pulau Morotai,11.547892720306514
Pangkajene Dan Kepulauan,11.517241379310343
Kepulauan Sangihe,11.509578544061302
Hulu Sungai Tengah,11.383141762452109
Pegunungan Bintang,11.35632183908046
Halmahera Timur,10.973180076628353
Sibolga,10.957854406130268
Maybrat,10.804597701149426
Tulangbawang,10.67816091954023
Ngada,10.183908045977011
Tambrauw,10.011494252873565
Nunukan,9.977011494252874
Mamuju,9.938697318007662
Pidie Jaya,9.938697318007662
Bolaang Mongondow Timur,9.842911877394636
Bolaang Mongondow Selatan,9.75095785440613
Lanny Jaya,9.739463601532568
Bone,9.735632183908049
Bombana,9.708812260536398
Kepulauan Seribu,9.647509578544062
Paniai,9.593869731800766
Luwu Utara,9.436781609195402
Teluk Wondama,9.295019157088122
Tojo Una una,9.172413793103448
Klungkung,9.168582375478929
Takalar,8.808429118773946
Humbang Hasundutan,8.613026819923371
Banggai Kepulauan,8.444444444444445
Bulukumba,7.540229885057471
Mamberamo Raya,7.264367816091954
Majene,7.206896551724138
Indramayu,6.900383141762452
Bondowoso,6.85823754789272
Manokwari,6.727969348659004
Yahukimo,6.620689655172414
Mamberamo Tengah,6.613026819923372
Lombok Utara,6.555555555555555
Siau Tagulandang Biaro,6.295019157088123
Kutai Kartanegara,6.287356321839081
Deiyai,6.134099616858237
Mamasa,6.068965517241379
Situbondo,5.78544061302682
Mesuji,5.478927203065134
Dogiyai,5.444444444444445
Pangkal Pinang,5.3486590038314175
Pakpak Bharat,4.885057471264368
Minahasa Selatan,4.869731800766283
Sabu Raijua,4.666666666666667
Raja Ampat,4.118773946360153
Penajam Paser Utara,4.076628352490421
Sigi,3.873563218390805
Yalimo,3.333333333333333
Palu,3.157088122605364
Nduga,2.731800766283525
Boven Digoel,2.6091954022988504
Natuna,2.524904214559387
Kepulauan Talaud,2.1800766283524906
Donggala,2.034482758620689
Katingan,1.946360153256705
